date,industry,metric,value,z_score,alert_level
2022-01-01,交通运输,收益率偏离,-0.040118522108776,1.1176946386145485,关注
2022-01-01,传媒,收益率偏离,-0.1291300769169783,-1.046526622886842,关注
2022-01-01,传媒,成交量异常,4.395644588884477,2.343066792428664,警示
2022-01-01,公用事业,收益率偏离,-0.132141133551581,-1.1197372616879908,关注
2022-01-01,医药生物,收益率偏离,-0.1419936981905443,-1.3592918893754542,关注
2022-01-01,国防军工,收益率偏离,-0.1614951772616152,-1.8334496066210226,关注
2022-01-01,房地产,收益率偏离,-0.0054015701676061,1.9618003919349953,关注
2022-01-01,社会服务,收益率偏离,-0.0229295443858216,1.535626345701904,关注
2022-01-01,计算机,成交量异常,4.6847180043676175,2.680704297822616,警示
2022-01-01,钢铁,收益率偏离,-0.0432117058545216,1.0424871664757036,关注
2022-01-01,银行,收益率偏离,0.0233917902442615,2.6618803189479547,警示
2022-02-01,传媒,收益率偏离,-0.0148280067471625,-1.3171334474628391,关注
2022-02-01,家用电器,收益率偏离,-0.0053612670609702,-1.0856423064633414,关注
2022-02-01,有色金属,收益率偏离,0.1398848589110721,2.4660758712389463,警示
2022-02-01,煤炭,收益率偏离,0.1486768151802926,2.681066465239124,警示
2022-02-01,石油石化,收益率偏离,0.1210673201430978,2.0059286965411753,警示
2022-02-01,石油石化,成交量异常,4.422317280138341,2.104916514306316,警示
2022-02-01,社会服务,收益率偏离,-0.0139270399104225,-1.2951020144718324,关注
2022-02-01,社会服务,成交量异常,4.445494164089582,2.1277746733899883,警示
2022-02-01,计算机,成交量异常,4.506108870248214,2.187555815630632,警示
2022-03-01,农林牧渔,收益率偏离,0.0214149351776267,1.001391632952659,关注
2022-03-01,房地产,收益率偏离,0.1648358572897643,3.068529844907415,危险
2022-03-01,煤炭,收益率偏离,0.103851353386263,2.1895548913266163,警示
2022-03-01,电子,收益率偏离,-0.1345343862364698,-1.2463194867083904,关注
2022-03-01,石油石化,成交量异常,5.513563437636883,2.9005414454933938,警示
2022-03-01,综合,收益率偏离,0.0897600249544041,1.9864553502713376,关注
2022-04-01,交通运输,收益率偏离,-0.0767154665966044,1.0642054457682373,关注
2022-04-01,医药生物,收益率偏离,-0.1788442459092445,-1.0955128902885365,关注
2022-04-01,商贸零售,收益率偏离,-0.0569374927505152,1.4824504600818815,关注
2022-04-01,煤炭,收益率偏离,-0.0690847999195848,1.2255712316868885,关注
2022-04-01,电力设备,收益率偏离,-0.1869492891168376,-1.266910321529593,关注
2022-04-01,社会服务,成交量异常,4.744644991300762,2.1368486048046416,警示
2022-04-01,综合,成交量异常,4.665867230576441,2.0569729255718796,警示
2022-04-01,计算机,收益率偏离,-0.2203654496353074,-1.9735622082757172,关注
2022-04-01,通信,收益率偏离,-0.2006556385565892,-1.5567586326977385,关注
2022-04-01,钢铁,收益率偏离,-0.0676324942618199,1.2562831542198316,关注
2022-04-01,银行,收益率偏离,-0.0180289960305841,2.3052488364063484,警示
2022-04-01,食品饮料,收益率偏离,-0.053980443112779,1.544983218881423,关注
2022-05-01,建筑装饰,成交量异常,4.833972320195862,2.144893459811293,警示
2022-05-01,房地产,收益率偏离,-0.0235150322359791,-2.335471108939481,警示
2022-05-01,汽车,收益率偏离,0.1298398752292469,1.4663684668878634,关注
2022-05-01,电力设备,收益率偏离,0.1360972577643262,1.6214959744203483,关注
2022-05-01,石油石化,收益率偏离,0.1428824316287782,1.7897080189719212,关注
2022-05-01,综合,成交量异常,6.024292481203008,3.2711081030391704,危险
2022-05-01,钢铁,收益率偏离,0.017910559412205,-1.3084843865495148,关注
2022-05-01,银行,收益率偏离,-0.0427480591086011,-2.812279343745176,警示
2022-05-01,非银金融,收益率偏离,0.022315619477349,-1.1992780235685414,关注
2022-06-01,交通运输,收益率偏离,-0.0082484523243921,-1.0866192703234094,关注
2022-06-01,农林牧渔,收益率偏离,-0.0143419679153127,-1.2387932789897773,关注
2022-06-01,商贸零售,收益率偏离,-0.0081677336521036,-1.0846034743919657,关注
2022-06-01,国防军工,收益率偏离,0.0768237417791135,1.0378976213808029,关注
2022-06-01,建筑装饰,收益率偏离,-0.013446632314261,-1.2164339684274545,关注
2022-06-01,有色金属,收益率偏离,0.0840734524947002,1.2189454130539967,关注
2022-06-01,汽车,成交量异常,4.726732904240878,2.0572809561072836,警示
2022-06-01,环保,收益率偏离,-0.0097436761013109,-1.1239596516832322,关注
2022-06-01,电力设备,收益率偏离,0.0957307787681902,1.5100650537441649,关注
2022-06-01,石油石化,收益率偏离,-0.052943997833165,-2.2028058506505936,警示
2022-06-01,社会服务,收益率偏离,0.093362851578292,1.4509305578459675,关注
2022-06-01,钢铁,收益率偏离,-0.0326608556260208,-1.6962727972831502,关注
2022-06-01,银行,成交量异常,0.7237902040816326,-2.3605052547942518,警示
2022-06-01,非银金融,收益率偏离,0.0788725396023501,1.0890624658875419,关注
2022-06-01,食品饮料,收益率偏离,0.0884824894295819,1.3290527582684293,关注
2022-07-01,公用事业,收益率偏离,0.0471646880410319,1.246651807574559,关注
2022-07-01,房地产,收益率偏离,-0.0564949784255525,-1.0276874882709863,关注
2022-07-01,有色金属,收益率偏离,0.0467887611981854,1.238403805046743,关注
2022-07-01,机械设备,收益率偏离,0.0624365273449218,1.5817227703956855,关注
2022-07-01,汽车,收益率偏离,0.0764502091637093,1.8891891970816987,关注
2022-07-01,煤炭,收益率偏离,-0.0744174008932636,-1.42091342738975,关注
2022-07-01,环保,收益率偏离,0.0460668087664091,1.222563846832625,关注
2022-07-01,电力设备,收益率偏离,0.0563133766825789,1.4473781150398983,关注
2022-07-01,电力设备,成交量异常,5.168883495205187,2.6659533172383516,警示
2022-07-01,社会服务,收益率偏离,-0.1134408342777234,-2.2771049532779606,警示
2022-07-01,非银金融,收益率偏离,-0.0564933718893174,-1.027652240149762,关注
2022-07-01,食品饮料,收益率偏离,-0.0845392498066615,-1.6429913050739624,关注
2022-08-01,传媒,收益率偏离,0.0347029958990696,1.5271996371171002,关注
2022-08-01,农林牧渔,收益率偏离,0.0407650000618917,1.6658548476809785,关注
2022-08-01,国防军工,收益率偏离,-0.0940312404597798,-1.417317088652784,关注
2022-08-01,家用电器,收益率偏离,-0.0776446041003868,-1.0425082871709335,关注
2022-08-01,有色金属,收益率偏离,-0.0898542113483349,-1.3217765981775653,关注
2022-08-01,机械设备,收益率偏离,-0.0860537878519493,-1.234850145148219,关注
2022-08-01,汽车,收益率偏离,-0.1276421670488277,-2.186094208938021,警示
2022-08-01,煤炭,收益率偏离,0.0419854827673431,1.6937707451248947,关注
2022-08-01,电力设备,收益率偏离,-0.0999204131301527,-1.5520191533041958,关注
2022-08-01,电力设备,成交量异常,5.125376347056081,2.4822285239079664,警示
2022-08-01,石油石化,收益率偏离,0.034950191456756,1.532853699895821,关注
2022-08-01,非银金融,收益率偏离,0.024040692544883,1.2833225501072416,关注
2022-09-01,传媒,收益率偏离,-0.1466912497597138,-1.8954239723073973,关注
2022-09-01,医药生物,收益率偏离,-0.0556045967662303,1.0089927635678113,关注
2022-09-01,房地产,收益率偏离,-0.0390179760592677,1.537878798894666,关注
2022-09-01,煤炭,收益率偏离,-0.0074524755239904,2.5443859546411414,警示
2022-09-01,电力设备,收益率偏离,-0.1222467903136059,-1.1159804997299403,关注
2022-09-01,电子,收益率偏离,-0.1407409465255102,-1.7056907926483567,关注
2022-09-01,石油石化,成交量异常,5.153113687339231,3.6851339644131786,危险
2022-09-01,通信,收益率偏离,-0.1227154096804857,-1.1309230394675494,关注
2022-09-01,银行,收益率偏离,-0.0151135309488418,2.300103210033127,警示
2022-09-01,银行,成交量异常,0.5055353741496598,-2.083697639100553,警示
2022-10-01,医药生物,收益率偏离,0.088840992592966,1.4947651189948141,关注
2022-10-01,国防军工,收益率偏离,0.129992114869849,2.1395913127486477,警示
2022-10-01,建筑材料,收益率偏离,-0.0730051118328564,-1.0413165652078822,关注
2022-10-01,房地产,收益率偏离,-0.0845946268963081,-1.2229209169807236,关注
2022-10-01,煤炭,收益率偏离,-0.1223318171733932,-1.8142517828950842,关注
2022-10-01,石油石化,成交量异常,4.429245541007905,2.6809898055495522,警示
2022-10-01,计算机,收益率偏离,0.1647824585086128,2.6847459434541703,警示
2022-10-01,通信,收益率偏离,0.0858772742873257,1.4483245096348558,关注
2022-10-01,银行,收益率偏离,-0.0753645175130608,-1.078287770368477,关注
2022-10-01,食品饮料,收益率偏离,-0.1105311397739029,-1.62933857834064,关注
2022-11-01,国防军工,收益率偏离,-0.0291418207848965,-2.040664209555649,警示
