month,Rm,SMB,HML,MOM,stock_count,Rm_cum,SMB_cum,HML_cum,MOM_cum
2022-01-01,-0.10897510073102727,-0.005790883250749709,0.035899969238875104,0.23237280293899037,4566,0.8910248992689728,0.9942091167492503,1.035899969238875,1.2323728029389904
2022-02-01,0.02796655774122292,-0.019307669024849636,-0.010518362478583638,0.14675457181659574,4588,0.9159437985632458,0.9750132561815678,1.025003997870867,1.4132291459527198
2022-03-01,-0.07445701021259386,0.015900507775851683,0.05189184406526688,0.2163830548194901,4626,0.8477453617994601,0.9905164620430412,1.078193345494657,1.7190279857139081
2022-04-01,-0.14335979544985614,-0.08452322441315653,0.004987013115564154,0.1937889549382356,4642,0.7262127601383253,0.9067948168368514,1.0835703098497529,2.0521566225749868
2022-05-01,0.06991273178407552,0.002222928245502215,-0.0421683179193667,0.0968428110356499,4668,0.7769842780560492,0.908810556648073,1.0378779725360219,2.2508932385905736
2022-06-01,0.03504427929752226,-0.057425435321013595,-0.0663934365086972,0.10568025391615253,4694,0.8042131321060291,0.8566217148082247,0.9689696872626761,2.4887682075829765
2022-07-01,0.0008367634697959686,0.03429098117098085,-0.035189099131749245,0.11775079889552398,4707,0.8048860682769056,0.8859961139013668,0.9348725168819296,2.781822652291653
2022-08-01,-0.052822148453936756,-0.018494664376783113,0.027690331414472545,0.09235624152944491,4743,0.7623702568898774,0.8696099131356269,0.9607594467046723,3.038741337058782
2022-09-01,-0.09701469382050232,-0.03697569919938527,-0.01096362445545411,0.09386548880784595,4788,0.6884091398398482,0.8374554785667204,0.9502260409389724,3.323974278022412
2022-10-01,0.020610723751117443,0.010137290822251897,-0.0680475834025061,0.05320308961801026,4822,0.7025977504488318,0.8459450083036394,0.8855654551669446,3.500819979423999
2022-11-01,0.053719758455725033,-0.0191309024829922,0.06178985152691557,0.05961273835608451,4863,0.7403411318944787,0.8297613168438084,0.9402844131590755,3.709513444889155
2022-12-01,-0.053729955276865665,-0.04437125154395557,-0.026763076978847167,0.06813728545738841,4912,0.7005626359881643,0.7929437687326879,0.915119509027689,3.962269621391588
2023-01-01,0.07076338834746931,0.002627909226086439,-0.023272949463195435,0.0054677530703558935,4929,0.7501368218603214,0.7950275529783082,0.8938219789413033,3.98393433327953
2023-02-01,0.017532606203426296,0.007801333623637007,0.01917604182341634,0.054670581561411566,4954,0.7632886753566881,0.8012298281590758,0.9109619465921706,4.201738340182396
2023-03-01,-0.026061555600434463,-0.03476635396993811,-0.02566104052121141,0.0900033418964913,4989,0.7433961851046978,0.7733739883420248,0.8875857151673873,4.5799088325734285
2023-04-01,-0.0405386837262574,-0.0493955526341061,0.02312239805396284,0.10768068008326255,5017,0.7132598822734323,0.7351727527950277,0.9081088253804989,5.073076530384276
2023-05-01,-0.022453876570923226,0.037356263067253065,0.004961957489497085,0.10118330536929762,5044,0.6972444329138734,0.7626360595483154,0.912614822767874,5.5863871821199655
2023-06-01,-0.010104814712729763,0.016114397899826046,-0.002010730384775011,0.0876760694637373,5079,0.6901989071097964,0.7749254804646323,0.9107798004141385,6.076179652750847
2023-07-01,-0.007655020364072454,-0.01314294841855032,0.0712042203107223,0.07205985550096523,5122,0.6849154204206103,0.7647406748466653,0.9756311659773826,6.514028280525978
2023-08-01,-0.052901872478805276,0.0208917752298313,-0.021775654762618654,0.07544676418593849,5159,0.6486821121907518,0.7807174651346712,0.9543861585314081,7.005490636107355
2023-09-01,-0.01340536841565007,0.0015037209320324617,0.016616855338743453,0.05290260819943488,5185,0.6399862894921927,0.7818914463289977,0.9702450552650235,7.376099362474152
2023-10-01,-0.023464929135049037,-0.003111218548691206,-0.020085971585720678,0.06258194284158973,5195,0.6249690565618554,0.7794588111581159,0.9507567406537842,7.837709991170396
2023-11-01,0.02501600511759503,0.048893270829948016,-0.018276123418686972,0.05441485183890418,5217,0.6406032856791453,0.817569101912859,0.9333805931204471,8.264197819096232
