quarter,industry,industry_ret,market_ret,excess_ret,SMB_contrib,HML_contrib,MOM_contrib,alpha
2022Q1,交通运输,-0.011705522737253669,-0.051821851067466035,0.040116328330212364,-0.0030660148332492337,0.025757816941852765,0.1985034765250254,-0.18107895030341656
2022Q1,传媒,-0.054371682953927004,-0.051821851067466035,-0.0025498318864609695,-0.0030660148332492337,0.025757816941852765,0.1985034765250254,-0.22374511052008988
2022Q1,公用事业,-0.0553638781783373,-0.051821851067466035,-0.0035420271108712667,-0.0030660148332492337,0.025757816941852765,0.1985034765250254,-0.22473730574450018
2022Q1,农林牧渔,-0.015086626828680597,-0.051821851067466035,0.03673522423878544,-0.0030660148332492337,0.025757816941852765,0.1985034765250254,-0.18446005439484348
2022Q1,医药生物,-0.039025497655829966,-0.051821851067466035,0.012796353411636069,-0.0030660148332492337,0.025757816941852765,0.1985034765250254,-0.20839892522199285
2022Q1,商贸零售,-0.0228577952669929,-0.051821851067466035,0.028964055800473135,-0.0030660148332492337,0.025757816941852765,0.1985034765250254,-0.1922312228331558
2022Q1,国防军工,-0.06961316038590687,-0.051821851067466035,-0.017791309318440834,-0.0030660148332492337,0.025757816941852765,0.1985034765250254,-0.23898658795206976
2022Q1,基础化工,-0.03481165154747393,-0.051821851067466035,0.0170101995199921,-0.0030660148332492337,0.025757816941852765,0.1985034765250254,-0.2041850791136368
2022Q1,家用电器,-0.05838569192657903,-0.051821851067466035,-0.006563840859112997,-0.0030660148332492337,0.025757816941852765,0.1985034765250254,-0.2277591194927419
2022Q1,建筑材料,-0.03443452417788387,-0.051821851067466035,0.017387326889582166,-0.0030660148332492337,0.025757816941852765,0.1985034765250254,-0.20380795174404676
2022Q1,建筑装饰,-0.010647506583000801,-0.051821851067466035,0.04117434448446523,-0.0030660148332492337,0.025757816941852765,0.1985034765250254,-0.1800209341491637
2022Q1,房地产,0.058811684070363135,-0.051821851067466035,0.11063353513782917,-0.0030660148332492337,0.025757816941852765,0.1985034765250254,-0.11056174349579975
2022Q1,有色金属,-0.025348592761422664,-0.051821851067466035,0.02647325830604337,-0.0030660148332492337,0.025757816941852765,0.1985034765250254,-0.19472202032758557
2022Q1,机械设备,-0.05744817956494926,-0.051821851067466035,-0.005626328497483228,-0.0030660148332492337,0.025757816941852765,0.1985034765250254,-0.22682160713111216
2022Q1,汽车,-0.06513524439978347,-0.051821851067466035,-0.01331339333231743,-0.0030660148332492337,0.025757816941852765,0.1985034765250254,-0.23450867196594635
2022Q1,煤炭,0.0647982481340624,-0.051821851067466035,0.11662009920152844,-0.0030660148332492337,0.025757816941852765,0.1985034765250254,-0.10457517943210048
