month,valuation_spread,within_factor_corr,turnover_hhi,valuation_spread_z,within_factor_corr_z,turnover_hhi_z,crowding_score,crowding_level
2022-01-01,6.209099999999999,,0.0006552850736420127,0.9941459990788931,,0.5828851245574865,0.7885155618181898,关注
2022-02-01,6.3627,,0.0006901431788322104,1.1412179519414976,,0.8448610016892303,0.9930394768153639,关注
2022-03-01,5.4506499999999996,,0.0007485910818057523,0.2679303568351317,,1.2841258603055414,0.7760281085703366,关注
2022-04-01,4.4979000000000005,,0.0005750577670838751,-0.6443274757810501,,-0.020062708975233823,-0.33219509237814193,关注
2022-05-01,5.2721,,0.0005881754823559323,0.09696878662928655,,0.07852340021259564,0.0877460934209411,关注
2022-06-01,5.90235,,0.0005805795801366209,0.7004329682155886,,0.021436443372765807,0.36093470579417725,关注
2022-07-01,6.0217,,0.0006132963788544846,0.8147105565889723,,0.26731934476079816,0.5410149506748853,关注
2022-08-01,5.451099999999999,,0.0005342186271620439,0.26836123169703374,,-0.3269890161841611,-0.029313892243563677,关注
2022-09-01,4.9883500000000005,,0.0007193130462236666,-0.17472175129235226,,1.064086962308636,0.44468260550814187,关注
2022-10-01,5.1234,,0.0005624506875015796,-0.045411417737049015,,-0.11481113874847085,-0.08011127824275993,关注
2022-11-01,5.208600000000001,,0.0006427577751312682,0.03616755611642684,,0.48873628894130555,0.2624519225288662,关注
2022-12-01,4.9559999999999995,,0.0008954422411871117,-0.20569686636465287,,2.3877848537256283,1.0910439936804877,警示
2023-01-01,5.32535,,0.0006071826235699344,0.14795564528770896,,0.2213714541769668,0.1846635497323379,关注
2023-02-01,5.3019,,0.0006677256840236117,0.12550227748414047,,0.6763824560673524,0.4009423667757464,关注
2023-03-01,5.1754,0.2030136489575943,0.0006564886295724773,0.004378566304977891,1.0907914545674449,0.5919304418184271,0.5623668208969499,关注
2023-04-01,4.85445,,0.0005399692773718734,-0.3029309602005731,,-0.2837700395766328,-0.29335049988860296,关注
2023-05-01,5.02115,,0.0008468543873854609,-0.14331576135815136,,2.0226231345735552,0.939653686607702,关注
2023-06-01,5.0727,,0.0006420389802911047,-0.0939566521780256,,0.4833341907003908,0.19468876926118261,关注
