trade_date,pct_chg,n_stocks,index
20220104,0.2048184175817121,2461,1002.0481841758171
20220105,-0.8572797584179913,2461,993.4578279232827
20220106,-0.26644745622216165,2463,990.8107848121413
20220107,-0.11581822518687923,2465,989.6632453462116
20220110,0.5152719665651132,2466,994.7627026128791
20220111,-0.7505782294789123,2468,987.2962303320908
20220112,0.79551326100577,2470,995.1503027697927
20220113,-1.1827337616716425,2469,983.3803241595568
20220114,-0.7515329969650165,2469,975.9898965378361
20220117,0.9308554402889642,2469,985.0749515864292
20220118,0.6528734618241996,2472,991.5062445244147
20220119,-0.364767044063355,2471,987.8895565045594
20220120,0.08071617577009599,2473,988.6869431754021
20220121,-1.0028587664301736,2474,978.7718094932172
20220124,0.08964167629812117,2475,979.6491969503804
20220125,-2.709063260103921,2474,953.1098804778945
20220126,0.9441513093392546,2474,962.1086798938684
20220127,-1.9182674534755009,2477,943.6528622204015
20220128,-0.7198746383555483,2479,936.8597445911607
20220207,1.8505476045224123,2480,954.1967801524272
20220208,0.7066619528095492,2480,960.9397257526982
20220209,1.2875041354156969,2481,973.3118644606164
20220210,-0.014266129707869531,2481,973.1730105275705
20220211,-0.6807082937759205,2481,966.5485411321204
20220214,-0.9121498675079021,2482,957.7321698947842
20220215,0.5331764392085985,2482,962.8385721753845
20220216,0.6132862264012501,2483,968.7435285210146
20220217,0.026065927818406984,2483,968.9960405099042
20220218,0.7071143343240938,2486,975.8479504113825
20220221,0.1878555345163779,2487,977.6811347946949
20220222,-1.065865522519234,2487,967.2603686587435
20220223,0.9443547190095066,2487,976.3947375952811
20220224,-1.947763923941319,2487,957.3768731411387
20220225,0.6324092444844798,2487,963.4314129914399
20220228,0.265071744401603,2489,965.9851974439692
20220301,0.7750082952104727,2489,973.4716628546653
20220302,-0.23141412486032223,2488,971.218911925307
20220303,-0.05817815572398952,2489,970.6538746743062
20220304,-1.0758851524843567,2489,960.2107537546713
20220307,-2.2061608353533346,2491,939.0269601684846
20220308,-2.2996179822212985,2491,917.432927334544
20220309,-0.9720739902834898,2491,908.5148004696285
20220310,1.2917464598297321,2492,920.2505082417241
20220311,0.5575942607939413,2495,925.3817722606069
20220314,-2.59067393927383,2498,901.4081478478611
20220315,-4.774215840146769,2501,858.372977268935
20220316,3.420429587255807,2501,887.7330205524502
20220317,1.6928227613406943,2503,902.7607671842992
20220318,1.1386890530708085,2506,913.040405215645
20220321,0.18184038885272294,2507,914.7006814388715
20220322,0.40245679444897936,2512,918.3819564801933
20220323,0.4039783423877559,2514,922.0920206847701
20220324,-0.4828834141855527,2513,917.6393912533549
20220325,-1.0883549602587412,2511,907.6522174213609
20220328,0.030569128213876907,2514,907.9296787914406
20220329,-0.29640659367568895,2515,905.2385153575643
20220330,2.126199630359721,2515,924.4856933249705
20220331,-0.3169191885914784,2514,921.5558207670407
20220401,0.9722744291962858,2515,930.5158723631287
20220406,0.24596730464095237,2514,932.8046371736365
20220407,-1.4317910971268122,2515,919.4488234249983
20220408,0.42049066643617355,2516,923.3150199101576
20220411,-2.548708390785087,2516,899.7824125243285
20220412,1.5767386551952323,2518,913.9696296352478
20220413,-0.8227621133763854,2521,906.4498337948424
