ts_code,trade_date,adj_factor
920523.BJ,20250312,4.5565
920523.BJ,20250311,4.5565
920523.BJ,20250310,4.5565
920523.BJ,20250307,4.5565
920523.BJ,20250306,4.5565
920523.BJ,20250305,4.5565
920523.BJ,20250304,4.5565
920523.BJ,20250303,4.5565
920523.BJ,20250228,4.5565
920523.BJ,20250227,4.5565
920523.BJ,20250226,4.5565
920523.BJ,20250225,4.5565
920523.BJ,20250224,4.5565
920523.BJ,20250221,4.5565
920523.BJ,20250220,4.5565
920523.BJ,20250219,4.5565
920523.BJ,20250218,4.5565
920523.BJ,20250217,4.5565
920523.BJ,20250214,4.5565
920523.BJ,20250213,4.5565
920523.BJ,20250212,4.5565
920523.BJ,20250211,4.5565
920523.BJ,20250210,4.5565
920523.BJ,20250207,4.5565
920523.BJ,20250206,4.5565
920523.BJ,20250205,4.5565
920523.BJ,20250127,4.5565
920523.BJ,20250124,4.5565
920523.BJ,20250123,4.5565
920523.BJ,20250122,4.5565
920523.BJ,20250121,4.5565
920523.BJ,20250120,4.5565
920523.BJ,20250117,4.5565
920523.BJ,20250116,4.5565
920523.BJ,20250115,4.5565
920523.BJ,20250114,4.5565
920523.BJ,20250113,4.5565
920523.BJ,20250110,4.5565
920523.BJ,20250109,4.5565
920523.BJ,20250108,4.5565
920523.BJ,20250107,4.5565
920523.BJ,20250106,4.5565
920523.BJ,20250103,4.5565
920523.BJ,20250102,4.5565
920523.BJ,20241231,4.5565
920523.BJ,20241230,4.5565
920523.BJ,20241227,4.5565
920523.BJ,20241226,4.5565
920523.BJ,20241225,4.5565
920523.BJ,20241224,4.5565
920523.BJ,20241223,4.5565
920523.BJ,20241220,4.5565
920523.BJ,20241219,4.5565
920523.BJ,20241218,4.5565
920523.BJ,20241217,4.5565
920523.BJ,20241216,4.5565
920523.BJ,20241213,4.5565
920523.BJ,20241212,4.5565
920523.BJ,20241211,4.5565
920523.BJ,20241210,4.5565
920523.BJ,20241209,4.5565
920523.BJ,20241206,4.5565
920523.BJ,20241205,4.5565
920523.BJ,20241204,4.5565
920523.BJ,20241203,4.5565
920523.BJ,20241202,4.5565
920523.BJ,20241129,4.5565
920523.BJ,20241128,4.5565
920523.BJ,20241127,4.5565
920523.BJ,20241126,4.5565
920523.BJ,20241125,4.5565
920523.BJ,20241122,4.5565
920523.BJ,20241121,4.5565
920523.BJ,20241120,4.5565
920523.BJ,20241119,4.5565
920523.BJ,20241118,4.5565
920523.BJ,20241115,4.5565
920523.BJ,20241114,4.5565
920523.BJ,20241113,4.5565
920523.BJ,20241112,4.5565
920523.BJ,20241111,4.5565
920523.BJ,20241108,4.5565
920523.BJ,20241107,4.5565
920523.BJ,20241106,4.5565
920523.BJ,20241105,4.5565
920523.BJ,20241104,4.5565
920523.BJ,20241101,4.5565
920523.BJ,20241031,4.5565
920523.BJ,20241030,4.5565
920523.BJ,20241029,4.5565
920523.BJ,20241028,4.5565
920523.BJ,20241025,4.5565
920523.BJ,20241024,4.5565
920523.BJ,20241023,4.5565
920523.BJ,20241022,4.5565
920523.BJ,20241021,4.5565
920523.BJ,20241018,4.5565
920523.BJ,20241017,4.5565
920523.BJ,20241016,4.5565
920523.BJ,20241015,4.5565
920523.BJ,20241014,4.5565
920523.BJ,20241011,4.5565
920523.BJ,20241010,4.5565
920523.BJ,20241009,4.5565
920523.BJ,20241008,4.5565
920523.BJ,20240930,4.5565
920523.BJ,20240927,4.5565
920523.BJ,20240926,4.5565
920523.BJ,20240925,4.5565
920523.BJ,20240924,4.5565
920523.BJ,20240923,4.5565
920523.BJ,20240920,4.5565
920523.BJ,20240919,4.5565
920523.BJ,20240918,4.5565
920523.BJ,20240913,4.5565
920523.BJ,20240912,4.5565
920523.BJ,20240911,4.5565
920523.BJ,20240910,4.5565
920523.BJ,20240909,4.5565
920523.BJ,20240906,4.5565
920523.BJ,20240905,4.5565
920523.BJ,20240904,4.5565
920523.BJ,20240903,4.5565
920523.BJ,20240902,4.5565
920523.BJ,20240830,4.5565
920523.BJ,20240829,4.5565
920523.BJ,20240828,4.5565
920523.BJ,20240827,4.5565
920523.BJ,20240826,4.5565
920523.BJ,20240823,4.5565
920523.BJ,20240822,4.5565
920523.BJ,20240821,4.5565
920523.BJ,20240820,4.5565
920523.BJ,20240819,4.5565
920523.BJ,20240816,4.5565
