ts_code,trade_date,adj_factor
600352.SH,20251231,21.8867
600352.SH,20251230,21.8867
600352.SH,20251229,21.8867
600352.SH,20251226,21.8867
600352.SH,20251225,21.8867
600352.SH,20251224,21.8867
600352.SH,20251223,21.8867
600352.SH,20251222,21.8867
600352.SH,20251219,21.8867
600352.SH,20251218,21.8867
600352.SH,20251217,21.8867
600352.SH,20251216,21.8867
600352.SH,20251215,21.8867
600352.SH,20251212,21.8867
600352.SH,20251211,21.8867
600352.SH,20251210,21.8867
600352.SH,20251209,21.8867
600352.SH,20251208,21.8867
600352.SH,20251205,21.8867
600352.SH,20251204,21.8867
600352.SH,20251203,21.8867
600352.SH,20251202,21.8867
600352.SH,20251201,21.8867
600352.SH,20251128,21.8867
600352.SH,20251127,21.8867
600352.SH,20251126,21.8867
600352.SH,20251125,21.8867
600352.SH,20251124,21.8867
600352.SH,20251121,21.8867
600352.SH,20251120,21.8867
600352.SH,20251119,21.8867
600352.SH,20251118,21.8867
600352.SH,20251117,21.8867
600352.SH,20251114,21.8867
600352.SH,20251113,21.8867
600352.SH,20251112,21.8867
600352.SH,20251111,21.8867
600352.SH,20251110,21.8867
600352.SH,20251107,21.8867
600352.SH,20251106,21.8867
600352.SH,20251105,21.8867
600352.SH,20251104,21.8867
600352.SH,20251103,21.8867
600352.SH,20251031,21.8867
600352.SH,20251030,21.8867
600352.SH,20251029,21.8867
600352.SH,20251028,21.8867
600352.SH,20251027,21.8867
600352.SH,20251024,21.8867
600352.SH,20251023,21.8867
600352.SH,20251022,21.8867
600352.SH,20251021,21.8867
600352.SH,20251020,21.8867
600352.SH,20251017,21.8867
600352.SH,20251016,21.8867
600352.SH,20251015,21.8867
600352.SH,20251014,21.8867
600352.SH,20251013,21.8867
600352.SH,20251010,21.8867
600352.SH,20251009,21.8867
600352.SH,20250930,21.8867
600352.SH,20250929,21.8867
600352.SH,20250926,21.8867
600352.SH,20250925,21.8867
600352.SH,20250924,21.8867
600352.SH,20250923,21.4503
600352.SH,20250922,21.4503
600352.SH,20250919,21.4503
600352.SH,20250918,21.4503
600352.SH,20250917,21.4503
600352.SH,20250916,21.4503
600352.SH,20250915,21.4503
600352.SH,20250912,21.4503
600352.SH,20250911,21.4503
600352.SH,20250910,21.4503
600352.SH,20250909,21.4503
600352.SH,20250908,21.4503
600352.SH,20250905,21.4503
600352.SH,20250904,21.4503
600352.SH,20250903,21.4503
600352.SH,20250902,21.4503
600352.SH,20250901,21.4503
600352.SH,20250829,21.4503
600352.SH,20250828,21.4503
600352.SH,20250827,21.4503
600352.SH,20250826,21.4503
600352.SH,20250825,21.4503
600352.SH,20250822,21.4503
600352.SH,20250821,21.4503
600352.SH,20250820,21.4503
600352.SH,20250819,21.4503
600352.SH,20250818,21.4503
600352.SH,20250815,21.4503
600352.SH,20250814,21.4503
600352.SH,20250813,21.4503
600352.SH,20250812,21.4503
600352.SH,20250811,21.4503
600352.SH,20250808,21.4503
600352.SH,20250807,21.4503
600352.SH,20250806,21.4503
600352.SH,20250805,21.4503
600352.SH,20250804,21.4503
600352.SH,20250801,21.4503
600352.SH,20250731,21.4503
600352.SH,20250730,21.4503
600352.SH,20250729,21.4503
600352.SH,20250728,21.4503
600352.SH,20250725,21.4503
600352.SH,20250724,21.4503
600352.SH,20250723,21.4503
600352.SH,20250722,21.4503
600352.SH,20250721,21.4503
600352.SH,20250718,21.4503
600352.SH,20250717,21.4503
600352.SH,20250716,21.4503
600352.SH,20250715,20.9322
600352.SH,20250714,20.9322
600352.SH,20250711,20.9322
600352.SH,20250710,20.9322
600352.SH,20250709,20.9322
600352.SH,20250708,20.9322
600352.SH,20250707,20.9322
600352.SH,20250704,20.9322
600352.SH,20250703,20.9322
600352.SH,20250702,20.9322
600352.SH,20250701,20.9322
600352.SH,20250630,20.9322
600352.SH,20250627,20.9322
600352.SH,20250626,20.9322
600352.SH,20250625,20.9322
600352.SH,20250624,20.9322
600352.SH,20250623,20.9322
600352.SH,20250620,20.9322
600352.SH,20250619,20.9322
600352.SH,20250618,20.9322
600352.SH,20250617,20.9322
600352.SH,20250616,20.9322
600352.SH,20250613,20.9322
600352.SH,20250612,20.9322
600352.SH,20250611,20.9322
600352.SH,20250610,20.9322
600352.SH,20250609,20.9322
600352.SH,20250606,20.9322
600352.SH,20250605,20.9322
600352.SH,20250604,20.9322
600352.SH,20250603,20.9322
600352.SH,20250530,20.9322
600352.SH,20250529,20.9322
600352.SH,20250528,20.9322
600352.SH,20250527,20.9322
600352.SH,20250526,20.9322
600352.SH,20250523,20.9322
600352.SH,20250522,20.9322
600352.SH,20250521,20.9322
600352.SH,20250520,20.9322
600352.SH,20250519,20.9322
600352.SH,20250516,20.9322
600352.SH,20250515,20.9322
600352.SH,20250514,20.9322
600352.SH,20250513,20.9322
600352.SH,20250512,20.9322
600352.SH,20250509,20.9322
600352.SH,20250508,20.9322
600352.SH,20250507,20.9322
600352.SH,20250506,20.9322
600352.SH,20250430,20.9322
600352.SH,20250429,20.9322
600352.SH,20250428,20.9322
600352.SH,20250425,20.9322
600352.SH,20250424,20.9322
600352.SH,20250423,20.9322
600352.SH,20250422,20.9322
600352.SH,20250421,20.9322
600352.SH,20250418,20.9322
600352.SH,20250417,20.9322
600352.SH,20250416,20.9322
600352.SH,20250415,20.9322
600352.SH,20250414,20.9322
600352.SH,20250411,20.9322
600352.SH,20250410,20.9322
600352.SH,20250409,20.9322
600352.SH,20250408,20.9322
600352.SH,20250407,20.9322
600352.SH,20250403,20.9322
600352.SH,20250402,20.9322
600352.SH,20250401,20.9322
600352.SH,20250331,20.9322
600352.SH,20250328,20.9322
600352.SH,20250327,20.9322
600352.SH,20250326,20.9322
600352.SH,20250325,20.9322
600352.SH,20250324,20.9322
600352.SH,20250321,20.9322
600352.SH,20250320,20.9322
600352.SH,20250319,20.9322
600352.SH,20250318,20.9322
600352.SH,20250317,20.9322
600352.SH,20250314,20.9322
600352.SH,20250313,20.9322
600352.SH,20250312,20.9322
600352.SH,20250311,20.9322
600352.SH,20250310,20.9322
600352.SH,20250307,20.9322
600352.SH,20250306,20.9322
600352.SH,20250305,20.9322
600352.SH,20250304,20.9322
600352.SH,20250303,20.9322
600352.SH,20250228,20.9322
600352.SH,20250227,20.9322
600352.SH,20250226,20.9322
600352.SH,20250225,20.9322
600352.SH,20250224,20.9322
600352.SH,20250221,20.9322
600352.SH,20250220,20.9322
600352.SH,20250219,20.9322
600352.SH,20250218,20.9322
600352.SH,20250217,20.9322
600352.SH,20250214,20.9322
600352.SH,20250213,20.9322
600352.SH,20250212,20.9322
600352.SH,20250211,20.9322
600352.SH,20250210,20.9322
600352.SH,20250207,20.9322
600352.SH,20250206,20.9322
600352.SH,20250205,20.9322
600352.SH,20250127,20.9322
600352.SH,20250124,20.9322
600352.SH,20250123,20.9322
600352.SH,20250122,20.9322
600352.SH,20250121,20.9322
600352.SH,20250120,20.9322
600352.SH,20250117,20.9322
600352.SH,20250116,20.9322
600352.SH,20250115,20.9322
600352.SH,20250114,20.9322
600352.SH,20250113,20.9322
600352.SH,20250110,20.9322
600352.SH,20250109,20.9322
600352.SH,20250108,20.9322
600352.SH,20250107,20.9322
600352.SH,20250106,20.9322
600352.SH,20250103,20.9322
600352.SH,20250102,20.9322
600352.SH,20241231,20.9322
600352.SH,20241230,20.9322
600352.SH,20241227,20.9322
600352.SH,20241226,20.9322
600352.SH,20241225,20.9322
600352.SH,20241224,20.9322
600352.SH,20241223,20.9322
600352.SH,20241220,20.9322
600352.SH,20241219,20.9322
600352.SH,20241218,20.9322
600352.SH,20241217,20.9322
600352.SH,20241216,20.9322
600352.SH,20241213,20.9322
600352.SH,20241212,20.9322
600352.SH,20241211,20.9322
600352.SH,20241210,20.9322
600352.SH,20241209,20.9322
600352.SH,20241206,20.9322
600352.SH,20241205,20.9322
600352.SH,20241204,20.9322
600352.SH,20241203,20.9322
600352.SH,20241202,20.9322
600352.SH,20241129,20.9322
600352.SH,20241128,20.9322
600352.SH,20241127,20.9322
600352.SH,20241126,20.9322
600352.SH,20241125,20.9322
600352.SH,20241122,20.9322
600352.SH,20241121,20.9322
600352.SH,20241120,20.9322
600352.SH,20241119,20.9322
600352.SH,20241118,20.9322
600352.SH,20241115,20.9322
600352.SH,20241114,20.9322
600352.SH,20241113,20.9322
600352.SH,20241112,20.9322
600352.SH,20241111,20.9322
600352.SH,20241108,20.9322
600352.SH,20241107,20.9322
600352.SH,20241106,20.9322
600352.SH,20241105,20.9322
600352.SH,20241104,20.9322
600352.SH,20241101,20.9322
600352.SH,20241031,20.9322
600352.SH,20241030,20.9322
600352.SH,20241029,20.9322
600352.SH,20241028,20.9322
600352.SH,20241025,20.9322
600352.SH,20241024,20.9322
600352.SH,20241023,20.9322
600352.SH,20241022,20.9322
600352.SH,20241021,20.9322
600352.SH,20241018,20.9322
600352.SH,20241017,20.9322
600352.SH,20241016,20.9322
600352.SH,20241015,20.514
600352.SH,20241014,20.514
600352.SH,20241011,20.514
600352.SH,20241010,20.514
600352.SH,20241009,20.514
600352.SH,20241008,20.514
600352.SH,20240930,20.514
600352.SH,20240927,20.514
600352.SH,20240926,20.514
600352.SH,20240925,20.514
600352.SH,20240924,20.514
600352.SH,20240923,20.514
600352.SH,20240920,20.514
600352.SH,20240919,20.514
600352.SH,20240918,20.514
600352.SH,20240913,20.514
600352.SH,20240912,20.514
600352.SH,20240911,20.514
600352.SH,20240910,20.514
600352.SH,20240909,20.514
600352.SH,20240906,20.514
600352.SH,20240905,20.514
600352.SH,20240904,20.514
600352.SH,20240903,20.514
600352.SH,20240902,20.514
600352.SH,20240830,20.514
600352.SH,20240829,20.514
600352.SH,20240828,20.514
600352.SH,20240827,20.514
600352.SH,20240826,20.514
600352.SH,20240823,20.514
600352.SH,20240822,20.514
600352.SH,20240821,20.514
600352.SH,20240820,20.514
600352.SH,20240819,20.514
600352.SH,20240816,20.514
600352.SH,20240815,20.514
600352.SH,20240814,20.514
600352.SH,20240813,20.514
600352.SH,20240812,20.514
600352.SH,20240809,20.514
600352.SH,20240808,20.514
600352.SH,20240807,20.514
600352.SH,20240806,20.514
600352.SH,20240805,20.514
600352.SH,20240802,20.514
600352.SH,20240801,20.514
600352.SH,20240731,20.514
600352.SH,20240730,20.514
600352.SH,20240729,20.514
600352.SH,20240726,20.514
600352.SH,20240725,20.514
600352.SH,20240724,20.514
600352.SH,20240723,20.514
600352.SH,20240722,20.514
600352.SH,20240719,20.514
600352.SH,20240718,20.514
600352.SH,20240717,20.514
600352.SH,20240716,20.514
600352.SH,20240715,20.514
600352.SH,20240712,20.514
600352.SH,20240711,20.514
600352.SH,20240710,20.514
600352.SH,20240709,20.514
600352.SH,20240708,20.514
600352.SH,20240705,20.514
600352.SH,20240704,20.514
600352.SH,20240703,20.514
600352.SH,20240702,20.514
600352.SH,20240701,20.514
600352.SH,20240628,20.514
600352.SH,20240627,20.514
600352.SH,20240626,20.514
600352.SH,20240625,20.5142
600352.SH,20240624,20.5145
600352.SH,20240621,20.5145
600352.SH,20240620,20.5145
600352.SH,20240619,20.5145
600352.SH,20240618,20.5145
600352.SH,20240617,20.5145
600352.SH,20240614,20.5145
600352.SH,20240613,20.5145
600352.SH,20240612,20.5145
600352.SH,20240611,20.5145
600352.SH,20240607,20.5145
600352.SH,20240606,20.5145
600352.SH,20240605,20.5145
600352.SH,20240604,20.5145
600352.SH,20240603,20.5145
600352.SH,20240531,20.5145
600352.SH,20240530,20.5145
600352.SH,20240529,19.944
600352.SH,20240528,19.944
600352.SH,20240527,19.944
600352.SH,20240524,19.944
600352.SH,20240523,19.944
600352.SH,20240522,19.944
600352.SH,20240521,19.944
600352.SH,20240520,19.944
600352.SH,20240517,19.944
600352.SH,20240516,19.944
600352.SH,20240515,19.944
600352.SH,20240514,19.944
600352.SH,20240513,19.944
600352.SH,20240510,19.944
600352.SH,20240509,19.944
600352.SH,20240508,19.944
600352.SH,20240507,19.944
600352.SH,20240506,19.944
600352.SH,20240430,19.944
600352.SH,20240429,19.944
600352.SH,20240426,19.944
