ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
600815.SH,20251231,442480,15373.73,429862,14926.72,215138,7476.48,215418,7488.83,79877,2770.95,80562,2799.94,3000,103.5,14652,509.17,-191972,-6648.26
600815.SH,20251230,318272,11556.78,324310,11766.11,200726,7284.18,178230,6471.62,79450,2885.62,85839,3121.85,7264,262.83,17333,629.83,-11572,-372.05
600815.SH,20251229,339780,12352.27,334569,12158.94,190290,6918.62,197980,7199.82,62059,2255.94,61952,2249.14,14712,530.56,12340,449.48,-121015,-4363.85
600815.SH,20251226,442100,16417.27,429411,15937.53,230479,8554.13,219940,8167.97,63541,2357.76,82468,3063.75,3250,119.5,7551,279.4,-99220,-3625.91
600815.SH,20251225,473112,17638.6,459091,17112.6,258912,9652.28,243381,9083.04,119747,4473.37,116736,4360.09,22764,847.61,55327,2056.11,-50939,-1837.82
600815.SH,20251224,552212,20654.84,539364,20172.76,357829,13364.86,324211,12115.38,118008,4396.14,146461,5455.43,27691,1037.52,45704,1709.79,138333,5194.69
600815.SH,20251223,441739,15990.9,462715,16741.37,238229,8631.55,234857,8509.75,104402,3780.39,81254,2948.18,11139,401.57,16683,605.11,-125448,-4496.63
600815.SH,20251222,529331,19424.31,534992,19629.88,291787,10711.54,256681,9422.51,122141,4474.76,159989,5872.22,28151,1037.53,19748,723.54,44398,1727.59
600815.SH,20251219,534892,19481.52,523481,19068.53,286423,10408.72,269375,9786.29,125485,4568.68,151321,5505.06,28512,1043.21,31136,1142.26,213163,7811.84
600815.SH,20251218,469967,16728.71,523347,18635.63,225994,8041.94,224742,7994.36,105821,3778.83,87478,3125.31,33785,1205.82,0,0.0,-15991,-528.57
600815.SH,20251217,437257,15507.41,429718,15239.87,211604,7511.1,217671,7728.85,73725,2616.84,82798,2937.95,12883,458.63,5282,187.3,-58609,-2047.66
600815.SH,20251216,691407,25798.45,624467,23293.98,292583,10924.33,286715,10717.1,119907,4462.38,186331,6948.47,19934,754.14,26318,979.75,-188043,-7008.9
600815.SH,20251215,454122,18062.84,477677,19005.41,241077,9594.27,242383,9644.53,99894,3976.61,111111,4427.88,42569,1699.26,6491,255.16,-24976,-947.54
600815.SH,20251212,615314,24932.35,603785,24456.93,310199,12580.08,325327,13198.45,113886,4613.95,113320,4597.68,40378,1637.94,37345,1511.26,-216304,-8694.46
600815.SH,20251211,783079,32657.53,767867,32023.63,422657,17665.55,412722,17237.79,203007,8487.15,201279,8413.12,43593,1800.06,70468,2935.76,-365182,-15215.66
600815.SH,20251210,714534,31326.14,729668,31962.23,566144,24836.9,524142,23000.68,226399,9909.86,236280,10369.76,29878,1309.92,46865,2050.14,-180547,-7755.94
600815.SH,20251209,842332,36754.08,882235,38452.45,669273,29232.18,644131,28169.8,304478,13296.11,297025,12981.9,51259,2231.8,43952,1910.01,-69532,-2855.79
600815.SH,20251208,1153737,50044.8,1137664,49306.29,840095,36398.44,835228,36272.71,377753,16349.92,398762,17285.15,117438,5146.12,117369,5075.13,23468,1298.34
600815.SH,20251205,970921,40517.13,952741,39724.89,696576,29022.04,732561,30546.88,303337,12608.56,326063,13553.61,110051,4556.89,69520,2879.24,377771,15896.04
600815.SH,20251204,781646,32081.46,837407,34352.72,592491,24329.96,569203,23402.67,258636,10630.38,235535,9688.38,59659,2474.21,50287,2072.23,-245612,-9922.61
600815.SH,20251203,1055812,44707.12,1090967,46135.95,767093,32393.11,773580,32688.45,372085,15661.96,332920,14056.59,60204,2531.48,57728,2412.68,-151775,-6230.3
600815.SH,20251202,1190482,48903.69,1131406,46430.97,827816,33941.51,869390,35689.83,308042,12624.33,343662,14067.23,81115,3307.11,62997,2588.61,198933,8201.0
600815.SH,20251201,1211410,48346.4,1147814,45782.87,754724,30126.42,697745,27865.57,281394,11229.26,373903,14937.39,80232,3205.45,108298,4321.69,19253,907.99
600815.SH,20251128,202143,7592.5,351062,13331.42,162581,6127.08,283705,10772.09,172953,6562.5,184372,7002.81,342544,13155.82,61082,2331.58,-137191,-5414.77
600815.SH,20251127,529503,18606.1,540680,18998.08,304338,10695.72,284653,10008.92,103859,3653.35,96427,3400.37,28070,990.92,44010,1538.72,-145556,-5081.79
600815.SH,20251126,578934,21349.97,580363,21386.35,367198,13548.32,353701,13050.24,145563,5365.92,161977,5980.11,20848,764.9,16503,612.41,-224521,-8183.49
600815.SH,20251125,711160,26322.49,635872,23515.63,465645,17208.96,465276,17207.17,176929,6542.37,213221,7890.0,28267,1051.27,67633,2512.28,202324,7595.59
600815.SH,20251124,613579,21973.4,632433,22627.92,461230,16450.55,446904,16020.74,154270,5527.34,144310,5145.24,41398,1513.81,46829,1671.2,-87184,-3074.24
600815.SH,20251121,728019,27254.4,768141,28694.51,503030,18793.5,497206,18594.9,204835,7666.57,218475,8191.06,94062,3503.38,46122,1737.38,-531125,-19693.14
