ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
600426.SH,20251231,67145,21036.28,58077,18190.11,38880,12178.2,47115,14765.34,17122,5360.29,25874,8105.74,15491,4862.88,7572,2376.45,-3780,-1174.91
600426.SH,20251230,123417,38993.6,102098,32264.19,81316,25719.14,82854,26198.34,34353,10864.46,47176,14910.62,14353,4546.15,21310,6750.18,50110,15891.8
600426.SH,20251229,109677,34153.04,103070,32092.64,59264,18425.21,57433,17855.31,25506,7913.69,33549,10417.05,2491,767.0,2887,893.95,8403,2645.96
600426.SH,20251226,88918,27474.84,87591,27081.93,78830,24365.23,77534,23960.2,35745,11042.68,40405,12469.48,11058,3412.43,9022,2783.58,-13094,-4075.42
600426.SH,20251225,72544,22883.42,78080,24628.47,63912,20159.71,65545,20669.54,32066,10103.48,24536,7732.59,3862,1220.24,4222,1336.25,5485,1740.71
600426.SH,20251224,135341,41152.33,112554,34204.52,56250,17084.73,63976,19422.19,40205,12218.14,45383,13823.43,11545,3522.55,21429,6527.6,37355,11426.91
600426.SH,20251223,62504,18691.08,54486,16294.0,29873,8935.36,29734,8889.64,20553,6160.41,25657,7684.24,3426,1023.78,6479,1942.76,22062,6634.9
600426.SH,20251222,64852,19477.33,61326,18413.84,47205,14182.41,46777,14052.78,16350,4910.74,13762,4135.6,4722,1422.24,11265,3390.51,2976,917.18
600426.SH,20251219,90842,27119.47,81368,24287.02,62252,18585.75,65263,19480.02,40315,12030.22,43348,12942.55,1862,556.08,5292,1581.95,3154,967.68
600426.SH,20251218,99069,29626.9,88491,26464.04,98450,29463.12,89561,26791.32,51960,15568.33,61849,18522.94,5245,1572.7,14822,4452.74,7984,2467.14
600426.SH,20251217,85430,24851.18,85069,24739.17,98151,28547.81,94976,27619.4,44566,13009.01,42541,12435.38,15461,4532.91,21022,6146.96,31585,9240.53
600426.SH,20251216,61788,17368.19,61286,17232.0,61164,17198.37,56667,15940.15,23013,6481.9,28323,7962.65,2570,724.16,2259,637.81,8254,2340.38
600426.SH,20251215,88078,24905.77,90115,25487.88,84220,23856.09,71854,20342.36,16222,4582.06,25523,7218.24,1187,332.03,2214,627.46,-14286,-4083.79
600426.SH,20251212,82001,22540.65,76583,21050.8,36187,9940.15,32372,8894.92,19233,5284.86,27583,7578.59,2038,561.16,2920,802.52,-6649,-1813.62
600426.SH,20251211,55329,15267.6,48416,13361.21,33311,9188.75,37539,10356.21,9281,2558.6,11758,3240.67,1845,506.44,2052,563.29,251,71.1
