ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
002123.SZ,20251231,130498,15990.03,91239,11190.44,93578,11470.43,103428,12674.65,55026,6744.5,71286,8736.04,5216,640.2,18365,2244.03,-57781,-7062.36
002123.SZ,20251230,112181,14051.17,85320,10700.86,99275,12448.27,103193,12935.16,61995,7773.08,74325,9307.68,14539,1819.31,25152,3148.13,-63535,-7913.4
002123.SZ,20251229,105939,13386.98,107004,13530.14,115404,14590.1,105602,13353.66,67278,8513.9,71245,9011.02,18016,2279.72,22785,2875.89,3820,524.33
002123.SZ,20251226,136482,17058.5,107409,13444.26,121146,15157.55,131668,16473.3,78302,9799.86,88231,11036.34,21696,2716.48,30317,3778.49,-52270,-6481.18
002123.SZ,20251225,140119,17631.09,112458,14155.85,127700,16073.48,122384,15401.94,68013,8561.05,84331,10607.84,19061,2396.92,35720,4496.92,-59437,-7448.34
002123.SZ,20251224,165643,21154.17,122052,15597.41,153742,19640.17,134960,17237.8,74046,9458.47,103172,13173.4,20511,2619.18,53757,6863.39,-69700,-8860.78
002123.SZ,20251223,193637,24518.49,226908,28767.84,194453,24635.52,209496,26516.48,136526,17293.07,125198,15881.32,72479,9229.93,35493,4511.37,95491,12259.47
002123.SZ,20251222,191130,23994.04,150575,18901.17,156876,19692.75,168277,21121.31,93098,11683.89,106047,13306.13,21781,2729.01,37985,4771.07,-140878,-17672.89
002123.SZ,20251219,233529,29779.67,201263,25710.87,201699,25739.97,205639,26230.1,121574,15522.85,149363,19041.38,36567,4665.99,37104,4726.13,-74977,-9440.54
002123.SZ,20251218,309758,39871.02,289702,37419.7,291890,37689.99,298169,38406.04,187823,24274.07,186723,24068.13,55959,7225.06,70835,9166.27,-76853,-9574.99
002123.SZ,20251217,217629,27572.25,214189,27170.87,220389,27949.64,213670,27083.01,130637,16587.78,135532,17183.07,28993,3683.21,34257,4355.93,35570,4615.02
002123.SZ,20251216,243160,30558.19,288703,36278.9,265381,33364.06,268981,33817.62,193001,24276.43,160815,20235.79,54137,6807.31,37179,4673.68,67606,8510.65
002123.SZ,20251215,218287,26573.55,187586,22851.88,175109,21329.94,176659,21500.73,97157,11820.57,111230,13538.48,20056,2437.28,35134,4270.25,-72894,-8804.86
