ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
600287.SH,20251231,32715,1782.12,32139,1750.6,18738,1019.29,17385,945.99,1659,90.39,3588,195.19,0,0.0,0,0.0,-666,-35.44
600287.SH,20251230,29039,1601.68,31852,1755.88,16651,918.9,14013,773.93,2105,115.55,1930,106.32,0,0.0,0,0.0,-6011,-327.74
600287.SH,20251229,33005,1827.18,32270,1785.61,18979,1049.89,19196,1062.65,7444,411.31,7962,440.13,0,0.0,0,0.0,-6628,-365.56
600287.SH,20251226,23817,1342.94,25599,1442.77,15520,875.29,14462,815.82,2382,134.31,1658,93.95,0,0.0,0,0.0,-3935,-219.44
600287.SH,20251225,25185,1419.01,24282,1367.14,8871,499.07,10049,565.99,6567,369.64,6292,354.58,0,0.0,0,0.0,4605,262.39
600287.SH,20251224,35338,1988.4,36743,2067.08,16991,955.28,13533,760.91,4442,249.67,2099,118.3,0,0.0,4396,247.06,99,6.88
600287.SH,20251223,28433,1610.7,29113,1649.13,15959,903.66,13901,786.95,5226,295.7,7185,406.79,2500,141.25,1919,108.44,-10648,-601.57
600287.SH,20251222,42478,2447.29,39824,2294.14,13823,797.23,14237,820.9,1231,70.82,3471,200.29,0,0.0,0,0.0,-5570,-318.27
600287.SH,20251219,53084,3018.45,37589,2134.9,28621,1621.08,23587,1338.2,15722,896.91,16846,952.79,3216,178.26,22621,1288.82,37621,2142.31
600287.SH,20251218,35392,1984.47,36251,2031.87,18438,1033.24,18599,1043.08,3244,181.98,2203,123.56,0,0.0,21,1.18,1238,69.86
600287.SH,20251217,44973,2480.76,42652,2351.91,26016,1434.69,28191,1555.27,4276,234.77,4422,243.05,0,0.0,0,0.0,-15461,-850.32
600287.SH,20251216,40373,2286.29,40014,2265.27,27351,1548.6,24874,1409.36,3813,216.1,6649,376.36,0,0.0,0,0.0,-2053,-113.73
600287.SH,20251215,35606,2002.51,32272,1813.48,16203,910.25,19526,1097.21,5894,331.44,6552,369.23,647,35.71,0,0.0,5820,330.67
600287.SH,20251212,42594,2385.95,52283,2926.98,26363,1475.35,24211,1356.72,6538,365.71,5001,280.11,6000,336.8,0,0.0,-22616,-1263.42
600287.SH,20251211,56605,3244.25,64936,3719.95,39047,2236.18,37249,2133.07,14883,849.81,8350,477.23,0,0.0,0,0.0,-26299,-1509.35
600287.SH,20251210,59014,3527.57,66541,3976.34,32365,1936.67,33664,2016.6,19920,1193.71,11084,664.41,0,0.0,10,0.61,-23435,-1392.99
600287.SH,20251209,82710,5061.96,95078,5805.3,46548,2849.96,40829,2505.02,15251,935.48,12986,802.98,6157,377.84,1774,111.94,-17913,-1075.71
600287.SH,20251208,92600,5692.26,90880,5584.76,63574,3907.61,62720,3857.68,20488,1263.17,29706,1826.55,14026,856.99,7382,451.04,3270,216.88
600287.SH,20251205,88453,5329.6,101807,6128.38,51861,3134.91,45248,2744.27,18884,1145.36,12143,737.22,0,0.0,0,0.0,8608,525.73
600287.SH,20251204,51533,3028.5,52834,3102.71,26080,1533.46,20768,1220.51,8624,506.25,12635,744.99,0,0.0,0,0.0,-16837,-983.34
600287.SH,20251203,101802,6178.68,93072,5648.48,42858,2606.09,48021,2922.68,11317,692.38,14991,912.56,2000,121.6,1892,115.03,-1863,-102.26
600287.SH,20251202,107848,6546.77,108736,6599.52,74327,4510.57,73046,4432.57,31116,1894.33,37283,2272.57,11319,689.37,5545,336.37,33065,1999.78
600287.SH,20251201,40281,2360.07,45424,2659.63,18217,1066.76,15433,904.95,7493,438.57,5134,300.82,0,0.0,0,0.0,-1425,-80.78
600287.SH,20251128,32930,1888.77,32534,1865.99,10978,629.95,12040,690.96,2864,164.49,2198,126.25,0,0.0,0,0.0,4188,245.15
600287.SH,20251127,22490,1266.81,21891,1232.62,9531,536.72,10938,616.29,2638,148.48,1830,103.09,0,0.0,0,0.0,1841,105.51
600287.SH,20251126,22822,1298.32,28020,1591.47,12841,727.15,6678,378.8,2736,154.96,3464,196.7,0,0.0,237,13.46,-8233,-463.99
600287.SH,20251125,27380,1573.09,27579,1584.45,15712,902.9,12122,696.72,1867,107.2,3192,183.64,0,0.0,2066,118.38,3481,200.12
600287.SH,20251124,45753,2564.18,41282,2313.82,19928,1117.37,20316,1139.34,2908,162.08,6991,390.46,0,0.0,0,0.0,8525,479.16
600287.SH,20251121,42482,2393.25,47799,2691.5,18771,1054.27,15990,900.18,6234,350.48,5698,320.53,2000,114.2,0,0.0,-10795,-604.04
600287.SH,20251120,28836,1676.9,30999,1801.9,15142,878.74,15519,902.33,7912,459.44,7372,427.85,2000,117.0,0,0.0,-11244,-651.52
600287.SH,20251119,29233,1721.74,32257,1898.84,10903,641.05,9079,534.39,3635,213.18,2435,142.75,0,0.0,0,0.0,-9337,-549.48
600287.SH,20251118,28025,1666.87,29614,1760.37,16030,952.35,15701,933.1,5609,332.91,4349,258.66,0,0.0,0,0.0,-4560,-269.1
600287.SH,20251117,32074,1913.49,29386,1752.87,14662,873.56,15368,916.24,1064,63.48,1966,117.27,0,0.0,1080,64.15,-968,-55.38
600287.SH,20251114,35362,2110.91,29180,1741.78,22076,1318.3,23354,1394.32,9042,540.11,13946,833.21,0,0.0,0,0.0,11088,663.3
600287.SH,20251113,32443,1910.01,28482,1676.28,13847,815.55,16238,956.64,3333,197.02,2853,168.5,1079,63.45,3129,184.61,3880,230.96
600287.SH,20251112,30713,1816.92,29857,1765.55,15740,928.99,15408,910.48,6125,363.19,7313,433.08,0,0.0,0,0.0,-4540,-267.35
