ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
002180.SZ,20251231,53889,10881.45,73871,14925.5,91103,18391.59,74321,15014.32,79165,16023.97,68619,13874.19,19468,3949.24,26814,5432.24,37397,7575.64
002180.SZ,20251230,51796,10272.38,67368,13386.36,74993,14891.04,63469,12603.54,48422,9623.39,54520,10811.09,33869,6718.19,23723,4704.02,-12872,-2507.47
002180.SZ,20251229,63293,12462.1,73921,14571.57,72773,14343.72,78418,15442.89,58319,11480.02,50469,9940.24,24418,4819.65,15994,3150.79,36094,7125.3
002180.SZ,20251226,54613,10620.23,45488,8852.36,51454,10010.03,54449,10592.71,36196,7045.05,44079,8575.36,12992,2532.47,11239,2187.35,430,107.88
002180.SZ,20251225,57125,11034.97,41928,8108.2,54971,10623.46,49476,9566.63,37310,7211.21,57406,11086.17,18762,3626.72,19358,3735.35,-35711,-6882.3
002180.SZ,20251224,85725,16632.31,58980,11440.83,70942,13772.8,63518,12325.24,42018,8164.85,65560,12743.29,5115,994.12,15742,3054.72,-51337,-9936.84
002180.SZ,20251223,81637,16037.92,87671,17229.68,88365,17363.91,102535,20144.76,66970,13166.18,53455,10502.04,18640,3661.23,11951,2352.77,11143,2213.32
002180.SZ,20251222,46263,8882.58,41040,7881.78,54671,10497.37,49310,9469.22,23477,4506.88,27211,5223.98,4422,849.7,11272,2161.55,1273,257.37
002180.SZ,20251219,90674,17518.53,60156,11618.32,58511,11295.78,68024,13137.53,32443,6271.17,45472,8792.46,8645,1674.86,16622,3212.03,-13064,-2467.97
002180.SZ,20251218,75810,14612.98,60717,11731.21,66001,12750.69,71063,13717.3,44756,8650.81,51281,9886.46,17483,3376.69,20988,4056.19,-3057,-566.18
002180.SZ,20251217,73881,14014.64,86766,16464.42,89709,17013.63,82272,15603.69,48315,9169.32,60910,11569.29,26672,5083.87,8630,1644.05,23025,4428.56
002180.SZ,20251216,72637,13570.37,80827,15133.45,86127,16094.41,97560,18243.79,60375,11291.0,57973,10836.37,36976,6948.9,19756,3691.07,31839,5999.09
002180.SZ,20251215,83233,15218.91,65841,12058.22,78096,14288.24,96021,17581.69,69421,12701.7,75009,13703.85,22654,4161.98,16534,3027.06,1424,331.27
002180.SZ,20251212,188654,34571.15,108611,19935.18,158429,29018.05,255777,46873.9,107251,19716.96,87467,16039.86,28641,5311.24,31119,5768.47,10433,2027.59
002180.SZ,20251211,74164,13635.99,40963,7531.46,49319,9063.36,77675,14274.42,28167,5176.2,31188,5730.68,5082,930.47,6906,1269.46,-51331,-9436.09
