ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
002810.SZ,20251231,46748,6933.97,53134,7912.45,46213,6875.41,45129,6706.55,29087,4324.24,25087,3714.36,3090,461.59,1788,261.84,-8307,-1217.71
002810.SZ,20251230,42267,6312.67,45824,6846.52,42390,6330.67,47753,7132.9,25841,3859.54,18270,2727.85,4831,722.87,3482,518.47,-23967,-3575.41
002810.SZ,20251229,80124,12007.51,60507,9080.57,57288,8594.97,67413,10111.04,35941,5407.25,43053,6466.45,5105,768.05,7486,1119.72,-20242,-3026.26
002810.SZ,20251226,68022,10572.74,62987,9796.99,65745,10231.06,61180,9517.45,29924,4657.35,33441,5201.16,6186,961.49,12269,1907.03,-18767,-2898.04
002810.SZ,20251225,93408,14453.78,68523,10611.9,74890,11595.38,75245,11651.26,42916,6652.92,49303,7631.69,4285,666.14,22427,3473.36,-20513,-3151.74
002810.SZ,20251224,166702,26299.64,150316,23710.07,174179,27504.69,162335,25582.8,91459,14459.84,101992,16140.35,26572,4196.48,44268,7027.43,-6530,-911.34
002810.SZ,20251223,119383,18381.77,122812,19001.3,122823,18872.33,150941,23326.91,96064,14755.59,102123,15782.6,96025,15117.03,58419,9015.91,51987,8093.67
002810.SZ,20251222,22640,3266.18,53189,7691.27,45485,6563.93,71424,10333.43,66351,9571.72,64548,9325.25,80636,11698.73,25951,3750.61,-16750,-2464.38
002810.SZ,20251219,22675,2949.38,33067,4318.59,20465,2666.34,19600,2560.27,8382,1094.38,11819,1546.95,17869,2344.64,4906,628.93,7384,950.56
002810.SZ,20251218,16538,2119.16,12432,1594.56,9820,1258.56,12175,1561.29,3901,501.18,6937,888.08,1997,256.38,712,91.34,4712,603.74
002810.SZ,20251217,15148,1898.9,19091,2395.62,13696,1716.91,11472,1440.21,4775,601.14,3056,381.12,0,0.0,0,0.0,-71,-0.11
002810.SZ,20251216,22298,2804.04,18337,2308.13,15370,1932.59,13343,1679.62,7449,937.77,5947,745.53,1854,231.66,9344,1172.77,-7230,-909.45
002810.SZ,20251215,11849,1517.39,12629,1617.78,8066,1032.61,6992,894.54,2593,333.11,3086,396.2,1000,127.0,800,101.6,1044,138.39
002810.SZ,20251212,18702,2402.24,21239,2731.28,13921,1789.94,10246,1315.87,6969,894.85,8026,1029.57,1000,128.5,1082,138.82,-11435,-1464.0
002810.SZ,20251211,13490,1756.63,12251,1596.68,10846,1411.39,13012,1693.55,4952,643.67,5382,699.11,2248,293.47,891,115.83,-8764,-1141.87
002810.SZ,20251210,11664,1533.96,12352,1625.05,7927,1043.12,8144,1071.91,2962,389.84,2057,269.96,0,0.0,0,0.0,-5623,-738.9
002810.SZ,20251209,18328,2439.74,17022,2265.22,10529,1401.33,10267,1366.83,3469,461.84,3600,479.3,0,0.0,1437,191.56,-9211,-1224.73
002810.SZ,20251208,26734,3600.18,22681,3054.36,22013,2966.63,22207,2992.58,12718,1712.53,16133,2175.55,1663,224.93,2107,281.79,6246,842.95
002810.SZ,20251205,15322,1993.72,15138,1968.28,12552,1632.99,12031,1564.94,6587,857.23,5973,778.01,800,103.12,2119,275.83,7129,931.52
002810.SZ,20251204,14181,1822.43,15362,1974.19,11044,1419.19,10866,1397.02,6823,877.88,5429,697.46,1120,143.5,1511,194.33,-11458,-1471.87
002810.SZ,20251203,13078,1704.74,15411,2009.34,8318,1084.55,8140,1061.92,4930,643.72,3397,442.83,621,81.09,0,0.0,-3083,-400.79
002810.SZ,20251202,15364,2014.39,13117,1720.02,8233,1078.57,7273,953.76,4651,609.31,3058,399.83,0,0.0,4800,628.66,-5214,-682.52
002810.SZ,20251201,25931,3458.11,25224,3360.46,16408,2188.48,19322,2578.85,10275,1371.86,10122,1354.33,2465,330.55,410,55.35,4013,537.12
