ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
600406.SH,20251231,113689,25569.06,107570,24192.01,66405,14934.15,69792,15694.75,42669,9595.46,47230,10621.53,23191,5210.81,21362,4801.18,-11547,-2588.0
600406.SH,20251230,128930,29181.65,119250,26983.52,101185,22897.56,112997,25564.22,48008,10862.87,60627,13726.72,28936,6544.7,14187,3212.32,-22711,-5116.52
600406.SH,20251229,146654,33423.25,146075,33287.53,132637,30227.6,133158,30340.11,103103,23495.03,104603,23837.86,33500,7619.52,32059,7299.91,-39405,-8931.52
600406.SH,20251226,129716,29672.21,125963,28804.07,107393,24561.98,121582,27811.09,74475,17027.73,68053,15562.39,26502,6060.02,22487,5144.39,-63697,-14522.07
600406.SH,20251225,83309,19138.47,87398,20072.38,67360,15471.84,65238,14984.95,45234,10385.97,40448,9292.44,29858,6849.36,32677,7495.87,-22975,-5265.68
600406.SH,20251224,109670,25224.59,98490,22640.51,84125,19348.11,93523,21511.28,59287,13626.66,58072,13350.38,17796,4092.66,20793,4789.84,24604,5708.97
600406.SH,20251223,120124,27511.9,115461,26443.19,75635,17321.3,86871,19897.44,72102,16510.94,66289,15185.64,23915,5478.5,23156,5296.37,1858,457.32
600406.SH,20251222,109917,25195.73,105938,24284.14,82448,18893.42,87125,19964.95,73612,16876.48,74035,16973.44,23764,5441.29,22643,5184.38,18452,4257.76
600406.SH,20251219,118265,27094.01,122710,28108.44,88147,20195.76,97718,22389.89,82935,19002.68,67086,15376.81,25831,5921.47,27663,6338.79,-11082,-2515.87
600406.SH,20251218,91410,20914.1,104480,23901.91,59572,13630.16,67418,15425.11,52870,12095.22,48200,11028.2,28076,6421.85,11829,2706.11,-31497,-7186.1
600406.SH,20251217,144676,33137.56,136295,31207.25,100875,23084.85,111065,25428.53,79021,18105.63,71437,16367.14,10351,2367.01,16127,3692.13,16667,3860.93
