ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
002945.SZ,20251231,111489,17233.15,159409,24781.51,145972,22626.49,169855,26402.1,145748,22713.6,107771,16720.77,65088,10154.44,31262,4823.3,48906,7794.74
002945.SZ,20251230,76392,11412.89,114526,17123.41,97865,14628.24,100982,15155.45,73465,10998.71,54315,8139.73,34242,5205.83,12141,1827.07,27190,4048.44
002945.SZ,20251229,21806,3142.75,21117,3043.94,15249,2196.81,19509,2813.01,10211,1471.86,6952,1001.15,3640,526.23,3328,479.56,-917,-131.41
002945.SZ,20251226,32504,4699.54,29714,4301.41,29378,4252.25,29297,4240.11,15652,2266.12,19786,2859.92,7697,1113.94,6433,930.39,5506,804.71
002945.SZ,20251225,23987,3449.61,17809,2562.56,23515,3381.81,17776,2558.19,10867,1562.3,19246,2765.07,0,0.0,3538,507.91,5751,829.81
002945.SZ,20251224,29854,4271.13,19059,2728.89,21147,3026.02,33621,4809.57,12964,1856.28,11449,1638.45,164,23.47,0,0.0,7033,1011.51
002945.SZ,20251223,23619,3371.39,16831,2403.54,22519,3214.53,24280,3465.05,7774,1109.52,10609,1514.65,1000,142.49,3192,454.69,-12876,-1835.65
002945.SZ,20251222,17214,2473.82,16018,2301.51,15502,2227.5,14333,2059.65,5586,802.09,5787,831.44,1730,248.57,3894,559.38,-950,-133.61
002945.SZ,20251219,21503,3075.18,18102,2589.52,17020,2435.16,19901,2847.27,10916,1562.13,13395,1915.71,3959,566.26,2000,286.23,7422,1065.84
002945.SZ,20251218,25864,3692.36,18783,2681.52,18904,2698.24,18771,2680.28,5947,848.68,10407,1485.41,0,0.0,2754,392.06,-10844,-1545.06
002945.SZ,20251217,35292,5018.17,33749,4808.58,31091,4423.05,33694,4795.98,20218,2886.1,19707,2804.16,6163,881.22,5613,799.81,-1864,-251.92
002945.SZ,20251216,34066,4843.93,26236,3731.41,25189,3581.56,21706,3087.35,8168,1161.62,18604,2645.11,1337,191.41,2215,314.65,4515,646.06
002945.SZ,20251215,59403,8552.26,33134,4767.48,55568,8003.14,32719,4704.07,22215,3206.74,66359,9579.83,4115,594.93,9089,1305.67,-37403,-5387.78
002945.SZ,20251212,20134,2954.72,16352,2400.58,15043,2208.04,14983,2199.07,4865,715.11,9251,1357.74,1494,218.79,950,139.27,7025,1034.0
002945.SZ,20251211,22302,3278.66,15922,2341.63,16977,2497.14,17681,2601.11,7500,1101.38,13016,1912.41,2700,396.51,2859,418.53,-13518,-1986.51
002945.SZ,20251210,21468,3166.01,25442,3755.91,21556,3182.51,21940,3241.42,12065,1784.9,9683,1429.88,2806,415.48,830,121.68,2967,441.93
002945.SZ,20251209,24553,3617.07,18555,2734.6,20061,2956.34,19547,2881.21,10158,1497.78,16426,2419.82,1395,205.31,1639,240.85,-11535,-1696.87
002945.SZ,20251208,45874,6881.58,50356,7554.72,48367,7257.98,39160,5880.44,28485,4276.39,25775,3867.57,6393,959.66,13828,2072.88,-23299,-3476.87
002945.SZ,20251205,31124,4598.5,44673,6613.29,35343,5228.45,33894,5018.73,21123,3129.27,18135,2685.36,13831,2060.5,4718,699.35,6586,971.47
002945.SZ,20251204,17212,2509.33,18501,2699.22,17505,2551.91,17708,2583.15,7656,1117.34,7519,1095.06,2820,412.76,1465,213.91,3961,578.99
002945.SZ,20251203,27973,4079.05,26457,3859.04,22652,3301.85,21726,3167.55,11465,1672.6,10251,1493.84,144,20.95,3800,554.03,-10199,-1488.58
002945.SZ,20251202,22638,3349.09,15832,2342.76,17648,2611.16,15914,2354.55,5920,875.5,12135,1794.85,1744,258.29,4069,601.88,-17695,-2615.86
002945.SZ,20251201,26130,3896.24,18662,2782.96,16980,2531.78,21639,3227.17,9366,1396.98,12929,1927.28,754,112.42,0,0.0,2318,346.79
002945.SZ,20251128,20332,2998.05,17601,2597.96,15474,2283.17,19151,2825.66,6116,903.98,6913,1019.59,3301,487.98,1558,229.96,3541,528.65
002945.SZ,20251127,17252,2553.7,13531,2003.04,15488,2293.27,13871,2053.72,4778,707.56,8829,1307.02,57,8.42,1344,199.19,-2043,-298.0
002945.SZ,20251126,20189,2997.12,15743,2336.9,18264,2711.27,18995,2819.26,8736,1295.09,13313,1975.4,1705,252.59,843,124.51,-12115,-1795.49
002945.SZ,20251125,22558,3362.58,23529,3508.54,24907,3713.9,24896,3711.42,12976,1934.94,15835,2360.97,3819,569.51,0,0.0,-16323,-2429.55
002945.SZ,20251124,25085,3724.06,16917,2514.5,16884,2507.86,16908,2513.45,5701,848.39,16306,2418.28,3405,506.76,945,140.84,-869,-127.09
002945.SZ,20251121,50315,7536.54,38150,5717.21,44119,6607.99,37177,5565.97,17300,2590.17,29073,4353.04,1795,269.07,9129,1367.54,-5146,-761.3
002945.SZ,20251120,37796,5796.78,46947,7223.9,32635,5015.18,31083,4792.55,18860,2906.09,17904,2757.1,11125,1736.16,4482,680.66,-5249,-759.46
002945.SZ,20251119,23725,3625.04,18345,2804.19,17931,2739.91,17646,2697.96,7309,1117.02,10300,1572.46,700,107.87,3374,515.24,-9626,-1468.46
002945.SZ,20251118,25466,3909.94,27267,4187.52,26563,4078.78,21476,3298.57,11046,1697.27,13460,2065.5,1725,264.69,2598,399.1,-2652,-403.06
002945.SZ,20251117,22153,3379.33,24358,3716.86,22357,3411.03,19877,3033.48,9017,1376.02,8254,1257.42,968,148.2,2006,306.82,-2593,-390.07
002945.SZ,20251114,23105,3553.31,14634,2251.95,23107,3553.4,18644,2867.14,5801,892.03,15239,2342.84,719,110.65,4214,647.47,-17895,-2747.8
