ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
601002.SH,20251231,46633,2407.59,45606,2353.66,26921,1389.13,24399,1259.66,11509,593.76,15058,777.15,0,0.0,0,0.0,-12401,-637.18
601002.SH,20251230,82074,4293.77,78454,4104.82,50370,2635.36,57499,3007.53,26432,1383.08,22923,1199.86,0,0.0,0,0.0,11566,622.06
601002.SH,20251229,59307,3069.75,56269,2912.07,32733,1694.22,27190,1407.2,14888,770.42,13832,715.93,0,0.0,9637,499.2,-18552,-956.34
601002.SH,20251226,70304,3689.19,72524,3806.02,40567,2129.43,40012,2100.93,18894,994.45,29535,1553.68,19199,1011.6,6894,364.04,-49392,-2595.39
601002.SH,20251225,169274,8997.93,169127,8981.28,116037,6170.19,111761,5950.91,58523,3131.63,62769,3358.14,5523,295.18,5700,304.6,44087,2368.34
601002.SH,20251224,70644,3657.94,67834,3512.78,53550,2777.81,53739,2786.53,27213,1416.7,26343,1369.45,1509,78.79,5000,262.5,50330,2616.77
601002.SH,20251223,66916,3430.9,70042,3590.84,38635,1980.94,36711,1883.03,15114,775.93,20450,1049.3,6681,342.79,143,7.39,-24208,-1236.21
601002.SH,20251222,120901,6320.73,129499,6773.32,75628,3977.37,70815,3726.82,51506,2730.63,52261,2770.73,16290,868.19,11750,626.05,116,90.22
601002.SH,20251219,45076,2275.33,39500,1996.05,25171,1271.41,32099,1625.41,5007,252.48,14569,738.94,13532,693.91,2618,132.73,35980,1830.7
601002.SH,20251218,42927,2141.77,34647,1728.21,16480,821.06,17430,868.78,6306,314.26,13636,680.1,0,0.0,0,0.0,11085,554.11
601002.SH,20251217,69696,3415.43,74880,3670.73,38722,1898.23,35765,1754.92,31953,1564.5,25591,1251.14,0,0.0,4135,201.37,-12467,-598.39
601002.SH,20251216,59852,3002.25,79825,4002.58,38677,1938.02,32644,1636.98,18524,927.18,12829,641.37,8245,413.5,0,0.0,-55308,-2769.6
601002.SH,20251215,52961,2717.27,46400,2378.82,22108,1133.47,23753,1217.67,9468,485.26,8139,417.67,0,0.0,6245,321.84,11643,602.31
