ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
300132.SZ,20251231,8.71,6.0289,6.6492,1.15,82.2812,33.7015,3.1937,2.3196,2.1363,0.0,,51658.0886,50808.1284,46068.9239,449941.9517,442538.7984
300132.SZ,20251230,8.69,8.4711,9.3426,1.96,82.0923,33.6241,3.1864,2.3142,2.1314,0.0,,51658.0886,50808.1284,46068.9239,448908.7899,441522.6358
300132.SZ,20251229,8.16,3.8828,4.2822,0.9,77.0855,31.5734,2.9921,2.1731,2.0014,0.0,,51658.0886,50808.1284,46068.9239,421530.003,414594.3277
300132.SZ,20251226,8.14,3.4521,3.8072,0.75,76.8966,31.496,2.9847,2.1678,1.9965,0.0,,51658.0886,50808.1284,46068.9239,420496.8412,413578.1652
300132.SZ,20251225,8.27,3.9346,4.3394,0.85,78.1247,31.999,3.0324,2.2024,2.0284,0.0,,51658.0886,50808.1284,46068.9239,427212.3927,420183.2219
300132.SZ,20251224,8.26,6.5235,7.1945,1.58,78.0302,31.9603,3.0287,2.1997,2.026,0.0,,51658.0886,50808.1284,46068.9239,426695.8118,419675.1406
300132.SZ,20251223,7.94,3.8644,4.2619,0.87,75.0072,30.7222,2.9114,2.1145,1.9475,0.0,,51658.0886,50808.1284,46068.9239,410165.2235,403416.5395
300132.SZ,20251222,8.08,3.8439,4.2393,0.85,76.3298,31.2639,2.9627,2.1518,1.9818,0.0,,51658.0886,50808.1284,46068.9239,417397.3559,410529.6775
300132.SZ,20251219,8.06,4.8077,5.3023,1.12,76.1408,31.1865,2.9554,2.1465,1.9769,0.0,,51658.0886,50808.1284,46068.9239,416364.1941,409513.5149
300132.SZ,20251218,7.89,4.1637,4.592,0.93,74.5349,30.5287,2.8931,2.1012,1.9352,0.0,,51658.0886,50808.1284,46068.9239,407582.3191,400876.1331
300132.SZ,20251217,7.78,4.0096,4.4221,0.78,73.4958,30.1031,2.8527,2.0719,1.9082,0.0,,51658.0886,50808.1284,46068.9239,401899.9293,395287.239
300132.SZ,20251216,7.88,5.2765,5.8193,0.88,74.4404,30.49,2.8894,2.0985,1.9328,0.0,,51658.0886,50808.1284,46068.9239,407065.7382,400368.0518
300132.SZ,20251215,7.8,4.3855,4.8366,0.72,73.6847,30.1805,2.8601,2.0772,1.9131,0.0,,51658.0886,50808.1284,46068.9239,402933.0911,396303.4015
300132.SZ,20251212,7.59,3.6633,4.0401,0.61,71.7009,29.3679,2.7831,2.0213,1.8616,0.0,,51658.0886,50808.1284,46068.9239,392084.8925,385633.6946
300132.SZ,20251211,7.69,5.0851,5.6082,0.94,72.6455,29.7548,2.8197,2.0479,1.8862,0.0,,51658.0886,50808.1284,46068.9239,397250.7013,390714.5074
300132.SZ,20251210,7.91,7.4462,8.2122,1.68,74.7238,30.6061,2.9004,2.1065,1.9401,0.0,,51658.0886,50808.1284,46068.9239,408615.4808,401892.2956
300132.SZ,20251209,8.17,9.3522,10.3143,3.04,77.18,31.6121,2.9957,2.1758,2.0039,0.0,,51658.0886,50808.1284,46068.9239,422046.5839,415102.409
300132.SZ,20251208,7.83,4.706,5.1901,1.78,73.9681,30.2965,2.8711,2.0852,1.9205,0.0,,51658.0886,50808.1284,46068.9239,404482.8337,397827.6454
300132.SZ,20251205,7.61,3.2297,3.5619,1.33,71.8898,29.4453,2.7904,2.0266,1.8665,0.0,,51658.0886,50808.1284,46068.9239,393118.0542,386649.8571
300132.SZ,20251204,7.31,2.4552,2.7078,0.98,69.0558,28.2845,2.6804,1.9467,1.793,0.0,,51658.0886,50808.1284,46068.9239,377620.6277,371407.4186
300132.SZ,20251203,7.48,2.3736,2.6177,0.82,70.6617,28.9423,2.7427,1.992,1.8347,0.0,,51658.0886,50808.1284,46068.9239,386402.5027,380044.8004
300132.SZ,20251202,7.54,2.6089,2.8773,0.8,71.2285,29.1745,2.7647,2.008,1.8494,0.0,,51658.0886,50808.1284,46068.9239,389501.988,383093.2881
300132.SZ,20251201,7.53,2.54,2.8013,0.73,71.1341,29.1358,2.7611,2.0053,1.8469,0.0,,51658.0886,50808.1284,46068.9239,388985.4072,382585.2069
300132.SZ,20251128,7.54,2.1522,2.3736,0.5,71.2285,29.1745,2.7647,2.008,1.8494,0.0,,51658.0886,50808.1284,46068.9239,389501.988,383093.2881
300132.SZ,20251127,7.5,2.8219,3.1122,0.52,70.8507,29.0197,2.7501,1.9973,1.8396,0.0,,51658.0886,50808.1284,46068.9239,387435.6645,381060.963
300132.SZ,20251126,7.48,4.3535,4.8014,0.63,70.6617,28.9423,2.7427,1.992,1.8347,0.0,,51658.0886,50808.1284,46068.9239,386402.5027,380044.8004
300132.SZ,20251125,7.42,4.4266,4.8819,0.58,70.0949,28.7101,2.7207,1.976,1.8199,0.0,,51658.0886,50808.1284,46068.9239,383303.0174,376996.3127
300132.SZ,20251124,7.16,3.6636,4.0405,0.46,67.6388,27.7041,2.6254,1.9068,1.7562,0.0,,51658.0886,50808.1284,46068.9239,369871.9144,363786.1993
300132.SZ,20251121,7.22,6.1793,6.815,0.8,68.2056,27.9363,2.6474,1.9228,1.7709,0.0,,51658.0886,50808.1284,46068.9239,372971.3997,366834.687
300132.SZ,20251120,7.63,8.3105,9.1655,1.13,72.0787,29.5227,2.7977,2.032,1.8714,0.0,,51658.0886,50808.1284,46068.9239,394151.216,387666.0197
