ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000530.SZ,20251231,7.32,12.9479,18.1049,1.35,55.9415,58.2,1.9396,1.3622,1.3934,0.4098,0.6831,84321.2507,60004.1463,42912.4529,617231.5551,439230.3509
000530.SZ,20251230,7.52,14.0416,19.6343,1.42,57.47,59.7901,1.9926,1.3994,1.4315,0.3989,0.6649,84321.2507,60004.1463,42912.4529,634095.8053,451231.1802
000530.SZ,20251229,6.84,8.5545,11.9618,0.84,52.2732,54.3836,1.8124,1.2729,1.302,0.4386,0.731,84321.2507,60004.1463,42912.4529,576757.3548,410428.3607
000530.SZ,20251226,7.14,8.4909,11.8728,0.75,54.5659,56.7688,1.8919,1.3287,1.3592,0.4202,0.7003,84321.2507,60004.1463,42912.4529,602053.73,428429.6046
000530.SZ,20251225,7.12,7.4284,10.3871,0.6,54.4131,56.6098,1.8866,1.325,1.3553,0.4213,0.7022,84321.2507,60004.1463,42912.4529,600367.305,427229.5217
000530.SZ,20251224,7.09,9.4993,13.2827,0.68,54.1838,56.3713,1.8786,1.3194,1.3496,0.4231,0.7052,84321.2507,60004.1463,42912.4529,597837.6675,425429.3973
000530.SZ,20251223,6.94,15.3304,21.4363,1.12,53.0375,55.1787,1.8389,1.2915,1.3211,0.4323,0.7205,84321.2507,60004.1463,42912.4529,585189.4799,416428.7753
000530.SZ,20251222,7.51,10.336,14.4528,0.68,57.3936,59.7106,1.9899,1.3976,1.4296,0.3995,0.6658,84321.2507,60004.1463,42912.4529,633252.5928,450631.1387
000530.SZ,20251219,7.73,13.8011,19.298,0.75,59.0749,61.4598,2.0482,1.4385,1.4715,0.3881,0.6468,84321.2507,60004.1463,42912.4529,651803.2679,463832.0509
000530.SZ,20251218,7.5,13.454,18.8127,0.61,57.3171,59.6311,1.9873,1.3957,1.4277,0.4,0.6667,84321.2507,60004.1463,42912.4529,632409.3803,450031.0973
000530.SZ,20251217,7.84,17.2623,24.1378,0.8,59.9155,62.3344,2.0774,1.459,1.4924,0.3827,0.6378,84321.2507,60004.1463,42912.4529,661078.6055,470432.507
000530.SZ,20251216,7.52,13.8753,19.4017,0.6,57.47,59.7901,1.9926,1.3994,1.4315,0.3989,0.6649,84321.2507,60004.1463,42912.4529,634095.8053,451231.1802
000530.SZ,20251215,7.91,17.1579,23.9918,0.71,60.4505,62.8909,2.0959,1.472,1.5057,0.3793,0.6321,84321.2507,60004.1463,42912.4529,666981.093,474632.7972
000530.SZ,20251212,8.19,29.9204,41.8375,1.29,62.5903,65.1172,2.1701,1.5241,1.559,0.3663,0.6105,84321.2507,60004.1463,42912.4529,690591.0432,491433.9582
000530.SZ,20251211,7.95,32.0833,44.8618,1.44,60.7562,63.209,2.1065,1.4794,1.5133,0.3774,0.6289,84321.2507,60004.1463,42912.4529,670353.9431,477032.9631
000530.SZ,20251210,7.6,15.0981,21.1116,0.55,58.0814,60.4262,2.0138,1.4143,1.4467,0.3947,0.6579,84321.2507,60004.1463,42912.4529,640841.5053,456031.5119
000530.SZ,20251209,7.75,21.5752,30.1684,0.76,59.2277,61.6188,2.0535,1.4422,1.4753,0.3871,0.6452,84321.2507,60004.1463,42912.4529,653489.6929,465032.1338
000530.SZ,20251208,7.57,22.201,31.0436,0.84,57.8521,60.1877,2.0058,1.4087,1.441,0.3963,0.6605,84321.2507,60004.1463,42912.4529,638311.8678,454231.3875
000530.SZ,20251205,7.56,25.3935,35.5076,1.16,57.7757,60.1082,2.0032,1.4069,1.4391,0.3968,0.6614,84321.2507,60004.1463,42912.4529,637468.6553,453631.346
000530.SZ,20251204,7.34,27.0725,37.8553,1.6,56.0944,58.359,1.9449,1.3659,1.3972,0.4087,0.6812,84321.2507,60004.1463,42912.4529,618917.9801,440430.4338
000530.SZ,20251203,7.7,41.2373,57.6619,4.45,58.8456,61.2213,2.0403,1.4329,1.4658,0.3896,0.6494,84321.2507,60004.1463,42912.4529,649273.6304,462031.9265
000530.SZ,20251202,7.45,26.677,37.3023,5.76,56.935,59.2336,1.974,1.3864,1.4182,0.4027,0.6711,84321.2507,60004.1463,42912.4529,628193.3177,447030.8899
000530.SZ,20251201,6.77,11.2255,15.6965,3.45,51.7383,53.827,1.7939,1.2598,1.2887,0.4431,0.7386,84321.2507,60004.1463,42912.4529,570854.8672,406228.0705
000530.SZ,20251128,6.15,2.8815,4.0291,0.7,47.0,48.8975,1.6296,1.1445,1.1707,0.4878,0.813,84321.2507,60004.1463,42912.4529,518575.6918,369025.4997
000530.SZ,20251127,6.11,2.4391,3.4106,0.52,46.6944,48.5795,1.619,1.137,1.1631,0.491,0.8183,84321.2507,60004.1463,42912.4529,515202.8418,366625.3339
000530.SZ,20251126,6.1,3.0894,4.3198,0.58,46.6179,48.5,1.6163,1.1352,1.1612,0.4918,0.8197,84321.2507,60004.1463,42912.4529,514359.6293,366025.2924
