ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
601360.SH,20251231,11.17,3.2079,7.7923,1.57,,,2.6637,9.8375,9.3004,0.8953,1.7905,699955.7879,699955.7879,288153.2133,7818506.1508,7818506.1508
601360.SH,20251230,10.85,2.2037,5.353,1.0,,,2.5874,9.5556,9.0339,0.9217,1.8433,699955.7879,699955.7879,288153.2133,7594520.2987,7594520.2987
601360.SH,20251229,10.69,1.8453,4.4824,0.88,,,2.5492,9.4147,8.9007,0.9355,1.8709,699955.7879,699955.7879,288153.2133,7482527.3727,7482527.3727
601360.SH,20251226,10.89,3.338,8.1083,1.97,,,2.5969,9.5909,9.0672,0.9183,1.8365,699955.7879,699955.7879,288153.2133,7622518.5302,7622518.5302
601360.SH,20251225,10.52,1.2558,3.0504,0.69,,,2.5087,9.265,8.7592,0.9506,1.9011,699955.7879,699955.7879,288153.2133,7363534.8887,7363534.8887
601360.SH,20251224,10.51,1.5545,3.776,0.66,,,2.5063,9.2562,8.7509,0.9515,1.9029,699955.7879,699955.7879,288153.2133,7356535.3308,7356535.3308
601360.SH,20251223,10.57,3.0225,7.3421,1.31,,,2.5206,9.309,8.8008,0.9461,1.8921,699955.7879,699955.7879,288153.2133,7398532.6781,7398532.6781
601360.SH,20251222,10.51,1.3415,3.2587,0.59,,,2.5063,9.2562,8.7509,0.9515,1.9029,699955.7879,699955.7879,288153.2133,7356535.3308,7356535.3308
601360.SH,20251219,10.49,1.312,3.1871,0.57,,,2.5015,9.2386,8.7342,0.9533,1.9066,699955.7879,699955.7879,288153.2133,7342536.2151,7342536.2151
601360.SH,20251218,10.43,1.8778,4.5614,0.78,,,2.4872,9.1857,8.6842,0.9588,1.9175,699955.7879,699955.7879,288153.2133,7300538.8678,7300538.8678
601360.SH,20251217,10.51,4.2656,10.3617,2.26,,,2.5063,9.2562,8.7509,0.9515,1.9029,699955.7879,699955.7879,288153.2133,7356535.3308,7356535.3308
601360.SH,20251216,10.86,2.7559,6.6945,1.56,,,2.5897,9.5644,9.0423,0.9208,1.8416,699955.7879,699955.7879,288153.2133,7601519.8566,7601519.8566
