ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
688360.SH,20251231,21.26,2.6049,5.0608,0.94,60.6062,65.5523,3.8148,3.8474,3.606,0.6,0.504,26374.5667,25228.6035,12985.541,560723.288,536360.1104
688360.SH,20251230,22.2,3.8543,7.4883,1.71,63.2859,68.4507,3.9835,4.0175,3.7655,0.5746,0.4826,26374.5667,25228.6035,12985.541,585515.3807,560074.9977
688360.SH,20251229,21.84,1.8102,3.5168,0.83,62.2596,67.3407,3.9189,3.9523,3.7044,0.584,0.4906,26374.5667,25228.6035,12985.541,576020.5367,550992.7004
688360.SH,20251226,21.71,3.0125,5.8527,1.69,61.889,66.9398,3.8956,3.9288,3.6823,0.5875,0.4935,26374.5667,25228.6035,12985.541,572591.8431,547712.982
688360.SH,20251225,22.1,3.7171,7.2217,3.01,63.0008,68.1424,3.9656,3.9994,3.7485,0.5772,0.4848,26374.5667,25228.6035,12985.541,582877.9241,557552.1374
688360.SH,20251224,21.49,1.4626,2.8415,1.2,61.2618,66.2615,3.8561,3.889,3.645,0.5935,0.4986,26374.5667,25228.6035,12985.541,566789.4384,542162.6892
688360.SH,20251223,21.23,1.2823,2.4913,1.03,60.5207,65.4598,3.8094,3.8419,3.6009,0.6008,0.5047,26374.5667,25228.6035,12985.541,559932.051,535603.2523
688360.SH,20251222,21.24,1.4864,2.8878,1.12,60.5492,65.4907,3.8112,3.8438,3.6026,0.6005,0.5044,26374.5667,25228.6035,12985.541,560195.7967,535855.5383
688360.SH,20251219,20.94,0.9397,1.8257,0.53,59.694,64.5656,3.7574,3.7895,3.5517,0.6091,0.5117,26374.5667,25228.6035,12985.541,552283.4267,528286.9573
688360.SH,20251218,20.82,1.0007,1.9443,0.53,59.3519,64.1956,3.7359,3.7678,3.5314,0.6126,0.5146,26374.5667,25228.6035,12985.541,549118.4787,525259.5249
688360.SH,20251217,21.24,1.3977,2.7155,0.67,60.5492,65.4907,3.8112,3.8438,3.6026,0.6005,0.5044,26374.5667,25228.6035,12985.541,560195.7967,535855.5383
688360.SH,20251216,21.25,1.4129,2.7449,0.6,60.5777,65.5215,3.813,3.8456,3.6043,0.6002,0.5042,26374.5667,25228.6035,12985.541,560459.5424,536107.8244
688360.SH,20251215,21.43,1.8891,3.6701,0.65,61.0908,66.0765,3.8453,3.8781,3.6348,0.5952,0.5,26374.5667,25228.6035,12985.541,565206.9644,540648.973
688360.SH,20251212,21.03,3.2373,6.2895,1.02,59.9505,64.8432,3.7736,3.8058,3.567,0.6065,0.5095,26374.5667,25228.6035,12985.541,554657.1377,530557.5316
688360.SH,20251211,21.42,1.5736,3.0573,0.32,61.0623,66.0457,3.8435,3.8763,3.6332,0.5955,0.5002,26374.5667,25228.6035,12985.541,564943.2187,540396.687
688360.SH,20251210,21.84,2.3203,4.508,0.48,62.2596,67.3407,3.9189,3.9523,3.7044,0.584,0.4906,26374.5667,25228.6035,12985.541,576020.5367,550992.7004
688360.SH,20251209,22.31,2.7044,5.2542,0.56,63.5994,68.7899,4.0032,4.0374,3.7841,0.5717,0.4802,26374.5667,25228.6035,12985.541,588416.5831,562850.1441
688360.SH,20251208,22.33,4.6103,8.957,1.13,63.6564,68.8515,4.0068,4.041,3.7875,0.5712,0.4798,26374.5667,25228.6035,12985.541,588944.0744,563354.7162
688360.SH,20251205,22.38,4.5941,8.9255,1.35,63.799,69.0057,4.0158,4.0501,3.796,0.5699,0.4787,26374.5667,25228.6035,12985.541,590262.8027,564616.1463
688360.SH,20251204,22.66,10.5923,20.579,7.44,64.5972,69.869,4.066,4.1007,3.8435,0.5629,0.4728,26374.5667,25228.6035,12985.541,597647.6814,571680.1553
688360.SH,20251203,20.0,1.7043,3.3112,1.35,57.0143,61.6673,3.5887,3.6194,3.3923,0.6378,0.5357,26374.5667,25228.6035,12985.541,527491.334,504572.07
688360.SH,20251202,19.9,2.7176,5.2798,2.77,56.7292,61.359,3.5708,3.6013,3.3753,0.641,0.5384,26374.5667,25228.6035,12985.541,524853.8773,502049.2097
688360.SH,20251201,19.46,0.8461,1.6439,0.82,55.4749,60.0023,3.4918,3.5216,3.3007,0.6555,0.5506,26374.5667,25228.6035,12985.541,513249.068,490948.6241
688360.SH,20251128,19.31,1.145,2.2245,1.05,55.0473,59.5398,3.4649,3.4945,3.2753,0.6605,0.5549,26374.5667,25228.6035,12985.541,509292.883,487164.3336
688360.SH,20251127,18.88,0.707,1.3736,0.59,53.8215,58.2139,3.3878,3.4167,3.2023,0.6756,0.5675,26374.5667,25228.6035,12985.541,497951.8193,476316.0341
688360.SH,20251126,18.83,0.8995,1.7475,0.69,53.6789,58.0598,3.3788,3.4076,3.1939,0.6774,0.569,26374.5667,25228.6035,12985.541,496633.091,475054.6039
688360.SH,20251125,18.93,1.3104,2.546,0.89,53.964,58.3681,3.3967,3.4257,3.2108,0.6738,0.566,26374.5667,25228.6035,12985.541,499270.5476,477577.4643
688360.SH,20251124,18.67,1.0958,2.1289,0.64,53.2228,57.5664,3.3501,3.3787,3.1667,0.6832,0.5739,26374.5667,25228.6035,12985.541,492413.1603,471018.0273
688360.SH,20251121,18.2,1.4324,2.7828,0.85,51.883,56.1172,3.2658,3.2936,3.087,0.7008,0.5887,26374.5667,25228.6035,12985.541,480017.1139,459160.5837
688360.SH,20251120,18.9,1.2851,2.4967,0.79,53.8785,58.2756,3.3914,3.4203,3.2057,0.6749,0.5669,26374.5667,25228.6035,12985.541,498479.3106,476820.6062
688360.SH,20251119,18.88,1.4143,2.7477,0.83,53.8215,58.2139,3.3878,3.4167,3.2023,0.6756,0.5675,26374.5667,25228.6035,12985.541,497951.8193,476316.0341
688360.SH,20251118,19.25,2.1572,4.1911,1.33,54.8762,59.3548,3.4542,3.4836,3.2651,0.6626,0.5566,26374.5667,25228.6035,12985.541,507710.409,485650.6174
688360.SH,20251117,19.98,2.3167,4.5009,1.65,56.9573,61.6056,3.5852,3.6157,3.3889,0.6384,0.5363,26374.5667,25228.6035,12985.541,526963.8427,504067.4979
688360.SH,20251114,20.68,1.2283,2.3863,0.82,58.9528,63.764,3.7108,3.7424,3.5076,0.6168,0.5181,26374.5667,25228.6035,12985.541,545426.0394,521727.5204
688360.SH,20251113,21.0,0.9883,1.9201,0.5,59.865,64.7507,3.7682,3.8003,3.5619,0.6074,0.5102,26374.5667,25228.6035,12985.541,553865.9007,529800.6735
688360.SH,20251112,20.94,1.7798,3.4578,0.8,59.694,64.5656,3.7574,3.7895,3.5517,0.6091,0.5117,26374.5667,25228.6035,12985.541,552283.4267,528286.9573
688360.SH,20251111,21.58,1.8209,3.5377,0.66,61.5184,66.539,3.8723,3.9053,3.6603,0.5911,0.4965,26374.5667,25228.6035,12985.541,569163.1494,544433.2635
688360.SH,20251110,21.37,1.1886,2.3093,0.36,60.9198,65.8915,3.8346,3.8673,3.6247,0.5969,0.5014,26374.5667,25228.6035,12985.541,563624.4904,539135.2568
688360.SH,20251107,21.3,1.7349,3.3706,0.45,60.7202,65.6757,3.822,3.8546,3.6128,0.5988,0.503,26374.5667,25228.6035,12985.541,561778.2707,537369.2546
688360.SH,20251106,21.63,3.3801,6.5669,0.96,61.6609,66.6932,3.8812,3.9143,3.6688,0.5897,0.4953,26374.5667,25228.6035,12985.541,570481.8777,545694.6937
688360.SH,20251105,22.67,3.0639,5.9525,0.96,64.6257,69.8999,4.0678,4.1025,3.8452,0.5626,0.4726,26374.5667,25228.6035,12985.541,597911.4271,571932.4413
688360.SH,20251104,23.44,4.4772,8.6983,1.77,66.8207,72.2741,4.206,4.2419,3.9758,0.5442,0.4571,26374.5667,25228.6035,12985.541,618219.8434,591358.466
688360.SH,20251103,22.79,3.9279,7.6312,1.91,64.9678,70.2699,4.0894,4.1243,3.8655,0.5597,0.4701,26374.5667,25228.6035,12985.541,601076.3751,574959.8738
688360.SH,20251031,22.83,4.414,8.5756,3.08,65.0818,70.3932,4.0965,4.1315,3.8723,0.5587,0.4693,26374.5667,25228.6035,12985.541,602131.3578,575969.0179
688360.SH,20251030,21.51,1.6894,3.2823,1.22,61.3189,63.2399,3.9405,3.8926,3.6762,0.593,0.4981,26374.5667,25228.6035,12985.5411,567316.9297,542667.2613
688360.SH,20251029,21.75,1.4893,2.8934,1.15,62.003,63.9455,3.9845,3.9361,3.7172,0.5864,0.4926,26374.5667,25228.6035,12985.5411,573646.8257,548722.1261
