ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
920523.BJ,20251231,26.0,1.435,1.8629,0.47,17.4934,16.8929,3.8967,5.0651,5.0121,0.5917,1.1538,10130.1369,8043.4208,6195.8757,263383.5594,209128.9408
920523.BJ,20251230,26.21,2.1042,2.7317,0.6,17.6347,17.0293,3.9282,5.1061,5.0526,0.587,1.1446,10130.1369,8043.4208,6195.8757,265510.8881,210818.0592
920523.BJ,20251229,26.02,4.8313,6.272,1.66,17.5069,16.9059,3.8997,5.069,5.016,0.5913,1.153,10130.1369,8043.4208,6195.8757,263586.1621,209289.8092
920523.BJ,20251226,27.19,3.9402,5.1151,1.45,18.2941,17.6661,4.075,5.297,5.2415,0.5658,1.1033,10130.1369,8043.4208,6195.8757,275438.4223,218700.6116
920523.BJ,20251225,27.15,1.7898,2.3235,0.61,18.2672,17.6401,4.069,5.2892,5.2338,0.5667,1.105,10130.1369,8043.4208,6195.8757,275033.2168,218378.8747
920523.BJ,20251224,27.11,2.4479,3.1778,0.77,18.2402,17.6141,4.063,5.2814,5.2261,0.5675,1.1066,10130.1369,8043.4208,6195.8757,274628.0114,218057.1379
920523.BJ,20251223,27.21,4.4378,5.7611,1.62,18.3075,17.6791,4.078,5.3009,5.2454,0.5654,1.1025,10130.1369,8043.4208,6195.8757,275641.025,218861.48
920523.BJ,20251222,27.26,1.9105,2.4802,0.68,18.3412,17.7116,4.0855,5.3106,5.255,0.5644,1.1005,10130.1369,8043.4208,6195.8757,276147.5319,219263.651
920523.BJ,20251219,27.27,2.9574,3.8393,1.07,18.3479,17.7181,4.087,5.3126,5.257,0.5642,1.1001,10130.1369,8043.4208,6195.8757,276248.8333,219344.0852
920523.BJ,20251218,26.66,2.9047,3.7708,0.93,17.9375,17.3217,3.9956,5.1937,5.1394,0.5771,1.1253,10130.1369,8043.4208,6195.8757,270069.4498,214437.5985
920523.BJ,20251217,27.29,3.6664,4.7597,1.32,18.3614,17.7311,4.09,5.3165,5.2608,0.5637,1.0993,10130.1369,8043.4208,6195.8757,276451.436,219504.9536
920523.BJ,20251216,26.86,2.2189,2.8805,0.8,18.072,17.4517,4.0256,5.2327,5.1779,0.5728,1.1169,10130.1369,8043.4208,6195.8757,272095.4771,216046.2827
