ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
300966.SZ,20251231,19.69,1.4456,1.9271,1.04,,,2.9292,4.2302,3.6244,0.0813,,11528.1077,7636.8227,5728.7752,226988.4406,150369.039
300966.SZ,20251230,19.75,1.1655,1.5537,0.85,,,2.9381,4.243,3.6355,0.081,,11528.1077,7636.8227,5728.7752,227680.1271,150827.2483
300966.SZ,20251229,19.87,1.43,1.9063,1.01,,,2.956,4.2688,3.6575,0.0805,,11528.1077,7636.8227,5728.7752,229063.5,151743.667
300966.SZ,20251226,19.89,1.7844,2.3787,1.26,,,2.9589,4.2731,3.6612,0.0804,,11528.1077,7636.8227,5728.7752,229294.0622,151896.4035
300966.SZ,20251225,20.27,1.4122,1.8826,0.87,,,3.0155,4.3548,3.7312,0.0789,,11528.1077,7636.8227,5728.7752,233674.7431,154798.3961
300966.SZ,20251224,20.0,1.135,1.5131,0.68,,,2.9753,4.2968,3.6815,0.08,,11528.1077,7636.8227,5728.7752,230562.154,152736.454
300966.SZ,20251223,20.06,1.124,1.4984,0.65,,,2.9842,4.3096,3.6925,0.0798,,11528.1077,7636.8227,5728.7752,231253.8405,153194.6634
300966.SZ,20251222,20.13,1.5908,2.1207,0.88,,,2.9946,4.3247,3.7054,0.0795,,11528.1077,7636.8227,5728.7752,232060.808,153729.241
300966.SZ,20251219,20.4,1.8044,2.4054,1.01,,,3.0348,4.3827,3.7551,0.0784,,11528.1077,7636.8227,5728.7752,235173.3971,155791.1831
300966.SZ,20251218,19.9,2.4413,3.2544,1.46,,,2.9604,4.2753,3.6631,0.0804,,11528.1077,7636.8227,5728.7752,229409.3432,151972.7717
300966.SZ,20251217,19.45,1.3584,1.8109,0.77,,,2.8935,4.1786,3.5802,0.0823,,11528.1077,7636.8227,5728.7752,224221.6948,148536.2015
300966.SZ,20251216,19.35,1.4393,1.9187,0.82,,,2.8786,4.1571,3.5618,0.0827,,11528.1077,7636.8227,5728.7752,223068.884,147772.5192
300966.SZ,20251215,19.77,1.9792,2.6384,1.21,,,2.9411,4.2473,3.6391,0.0809,,11528.1077,7636.8227,5728.7752,227910.6892,150979.9848
300966.SZ,20251212,19.51,1.6773,2.2359,1.02,,,2.9024,4.1915,3.5913,0.082,,11528.1077,7636.8227,5728.7752,224913.3812,148994.4109
300966.SZ,20251211,19.72,1.9195,2.5588,1.2,,,2.9337,4.2366,3.6299,0.0811,,11528.1077,7636.8227,5728.7752,227334.2838,150598.1436
300966.SZ,20251210,20.3,1.8542,2.4717,1.18,,,3.0199,4.3612,3.7367,0.0788,,11528.1077,7636.8227,5728.7752,234020.5863,155027.5008
300966.SZ,20251209,20.62,1.3675,1.823,0.8,,,3.0675,4.43,3.7956,0.0776,,11528.1077,7636.8227,5728.7752,237709.5808,157471.2841
300966.SZ,20251208,20.86,1.3875,1.8496,0.74,,,3.1032,4.4815,3.8398,0.0767,,11528.1077,7636.8227,5728.7752,240476.3266,159304.1215
