ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
688170.SH,20251231,31.46,2.5482,3.5982,0.5,,,2.6769,4.5466,4.3334,0.9504,,10336.0,10336.0,7319.94,325170.56,325170.56
688170.SH,20251230,32.18,4.3278,6.111,0.88,,,2.7382,4.6507,4.4326,0.9291,,10336.0,10336.0,7319.94,332612.48,332612.48
688170.SH,20251229,33.73,3.7821,5.3404,0.8,,,2.8701,4.8747,4.6461,0.8864,,10336.0,10336.0,7319.94,348633.28,348633.28
688170.SH,20251226,34.07,5.7025,8.0521,1.43,,,2.899,4.9238,4.693,0.8776,,10336.0,10336.0,7319.94,352147.52,352147.52
688170.SH,20251225,33.69,5.3129,7.5019,1.61,,,2.8667,4.8689,4.6406,0.8875,,10336.0,10336.0,7319.94,348219.84,348219.84
688170.SH,20251224,33.4,6.342,8.9552,2.65,,,2.842,4.827,4.6007,0.8952,,10336.0,10336.0,7319.94,345222.4,345222.4
688170.SH,20251223,31.5,3.4825,4.9174,1.73,,,2.6803,4.5524,4.339,0.9492,,10336.0,10336.0,7319.94,325584.0,325584.0
688170.SH,20251222,31.19,2.8408,4.0113,1.62,,,2.6539,4.5076,4.2963,0.9586,,10336.0,10336.0,7319.94,322379.84,322379.84
688170.SH,20251219,31.0,1.9993,2.8231,1.2,,,2.6378,4.4801,4.2701,0.9645,,10336.0,10336.0,7319.94,320416.0,320416.0
688170.SH,20251218,30.5,1.8755,2.6483,1.12,,,2.5952,4.4079,4.2012,0.9803,,10336.0,10336.0,7319.94,315248.0,315248.0
688170.SH,20251217,30.51,1.7897,2.5271,1.08,,,2.5961,4.4093,4.2026,0.98,,10336.0,10336.0,7319.94,315351.36,315351.36
688170.SH,20251216,30.02,1.5794,2.2302,0.89,,,2.5544,4.3385,4.1351,0.9959,,10336.0,10336.0,7319.94,310286.72,310286.72
688170.SH,20251215,30.72,1.5179,2.1433,0.78,,,2.6139,4.4397,4.2315,0.9733,,10336.0,10336.0,7319.94,317521.92,317521.92
688170.SH,20251212,31.12,1.5783,2.2286,0.74,,,2.648,4.4975,4.2866,0.9607,,10336.0,10336.0,7319.94,321656.32,321656.32
688170.SH,20251211,31.43,1.8956,2.6766,0.77,,,2.6744,4.5423,4.3293,0.9513,,10336.0,10336.0,7319.94,324860.48,324860.48
688170.SH,20251210,32.09,1.7066,2.4098,0.62,,,2.7305,4.6377,4.4202,0.9317,,10336.0,10336.0,7319.94,331682.24,331682.24
688170.SH,20251209,32.59,2.1538,3.0412,0.74,,,2.7731,4.7099,4.4891,0.9174,,10336.0,10336.0,7319.94,336850.24,336850.24
688170.SH,20251208,32.38,2.4142,3.4089,0.81,,,2.7552,4.6796,4.4602,0.9234,,10336.0,10336.0,7319.94,334679.68,334679.68
688170.SH,20251205,31.37,2.4859,3.5102,0.85,,,2.6693,4.5336,4.321,0.9531,,10336.0,10336.0,7319.94,324240.32,324240.32
688170.SH,20251204,30.19,3.6082,5.0948,1.3,,,2.5689,4.3631,4.1585,0.9903,,10336.0,10336.0,7319.94,312043.84,312043.84
688170.SH,20251203,31.01,3.1895,4.5352,1.16,,,2.6386,4.4816,4.2715,0.9642,,10336.0,10336.0,7268.94,320519.36,320519.36
688170.SH,20251202,32.0,2.8632,4.1323,1.0,,,2.7229,4.6247,4.4078,0.9343,,10336.0,10336.0,7161.58,330752.0,330752.0
688170.SH,20251201,33.21,2.7811,4.0138,0.9,,,2.8258,4.7995,4.5745,0.9003,,10336.0,10336.0,7161.58,343258.56,343258.56
688170.SH,20251128,33.55,2.175,3.1391,0.59,,,2.8548,4.8487,4.6213,0.8912,,10336.0,10336.0,7161.58,346772.8,346772.8
688170.SH,20251127,33.55,2.8709,4.1435,0.73,,,2.8548,4.8487,4.6213,0.8912,,10336.0,10336.0,7161.58,346772.8,346772.8
