ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
300770.SZ,20251231,42.41,1.1961,2.2138,1.1,14.688,13.0196,2.8242,6.1204,5.8891,7.5154,6.7471,22783.8591,22783.8591,12310.0296,966263.4644,966263.4644
300770.SZ,20251230,43.77,1.3016,2.4091,1.36,15.159,13.4371,2.7158,6.3167,6.0779,7.2819,4.0243,22783.8591,22783.8591,12310.0296,997249.5128,997249.5128
300770.SZ,20251229,43.68,1.0917,2.0205,1.21,15.1278,13.4095,2.7102,6.3037,6.0654,7.2969,4.0326,22783.8591,22783.8591,12310.0296,995198.9655,995198.9655
300770.SZ,20251226,43.97,1.4504,2.6845,1.93,15.2283,13.4985,2.7282,6.3455,6.1057,7.2488,4.006,22783.8591,22783.8591,12310.0296,1001806.2846,1001806.2846
300770.SZ,20251225,43.56,0.9178,1.6987,1.3,15.0863,13.3727,2.7028,6.2864,6.0487,7.317,4.0437,22783.8591,22783.8591,12310.0296,992464.9024,992464.9024
300770.SZ,20251224,43.05,0.6739,1.2473,0.9,14.9097,13.2161,2.6711,6.2128,5.9779,7.4037,4.0917,22783.8591,22783.8591,12310.0296,980845.1343,980845.1343
300770.SZ,20251223,42.75,0.6557,1.2136,0.85,14.8058,13.124,2.6525,6.1695,5.9363,7.4557,4.1204,22783.8591,22783.8591,12310.0296,974009.9765,974009.9765
300770.SZ,20251222,43.07,0.7986,1.478,1.01,14.9166,13.2222,2.6724,6.2156,5.9807,7.4003,4.0898,22783.8591,22783.8591,12310.0296,981300.8114,981300.8114
300770.SZ,20251219,42.99,0.7103,1.3147,0.78,14.8889,13.1977,2.6674,6.2041,5.9696,7.414,4.0974,22783.8591,22783.8591,12310.0296,979478.1027,979478.1027
300770.SZ,20251218,42.8,0.7021,1.2995,0.79,14.8231,13.1394,2.6556,6.1767,5.9432,7.4469,4.1156,22783.8591,22783.8591,12310.0296,975149.1695,975149.1695
300770.SZ,20251217,42.71,0.8753,1.6201,0.97,14.7919,13.1117,2.65,6.1637,5.9307,7.4626,4.1242,22783.8591,22783.8591,12310.0296,973098.6222,973098.6222
300770.SZ,20251216,42.09,0.7798,1.4432,0.79,14.5772,12.9214,2.6116,6.0742,5.8446,7.5726,4.185,22783.8591,22783.8591,12310.0296,958972.6295,958972.6295
300770.SZ,20251215,42.43,0.8767,1.6227,0.85,14.6949,13.0258,2.6327,6.1233,5.8918,7.5119,4.1514,22783.8591,22783.8591,12310.0296,966719.1416,966719.1416
300770.SZ,20251212,42.72,1.3109,2.4263,1.24,14.7954,13.1148,2.6507,6.1651,5.9321,7.4609,4.1233,22783.8591,22783.8591,12310.0296,973326.4608,973326.4608
300770.SZ,20251211,42.84,0.6267,1.1599,0.51,14.8369,13.1516,2.6581,6.1824,5.9488,7.44,4.1117,22783.8591,22783.8591,12310.0296,976060.5238,976060.5238
300770.SZ,20251210,43.11,0.8947,1.656,0.72,14.9304,13.2345,2.6749,6.2214,5.9863,7.3934,4.086,22783.8591,22783.8591,12310.0296,982212.1658,982212.1658
300770.SZ,20251209,43.43,1.2132,2.2453,0.95,15.0413,13.3328,2.6947,6.2676,6.0307,7.3389,4.0559,22783.8591,22783.8591,12310.0296,989503.0007,989503.0007
300770.SZ,20251208,43.4,1.1391,2.1083,0.87,15.0309,13.3236,2.6929,6.2633,6.0265,7.344,4.0587,22783.8591,22783.8591,12310.0296,988819.4849,988819.4849
300770.SZ,20251205,43.01,1.4158,2.6204,1.17,14.8958,13.2038,2.6687,6.207,5.9724,7.4106,4.0955,22783.8591,22783.8591,12310.0296,979933.7799,979933.7799
300770.SZ,20251204,42.9,1.5062,2.7877,1.45,14.8577,13.1701,2.6618,6.1911,5.9571,7.4296,4.106,22783.8591,22783.8591,12310.0296,977427.5554,977427.5554
300770.SZ,20251203,42.15,0.9118,1.6876,0.9,14.598,12.9398,2.6153,6.0829,5.8529,7.5618,4.179,22783.8591,22783.8591,12310.0296,960339.6611,960339.6611
300770.SZ,20251202,42.38,1.3826,2.5589,1.35,14.6776,13.0104,2.6296,6.1161,5.8849,7.5207,4.1563,22783.8591,22783.8591,12310.0296,965579.9487,965579.9487
300770.SZ,20251201,43.25,1.3587,2.5148,1.25,14.9789,13.2775,2.6835,6.2416,6.0057,7.3695,4.0727,22783.8591,22783.8591,12310.0296,985401.9061,985401.9061
300770.SZ,20251128,43.8,0.8728,1.6154,0.73,15.1694,13.4464,2.7177,6.321,6.0821,7.2769,4.0216,22783.8591,22783.8591,12310.0296,997933.0286,997933.0286
300770.SZ,20251127,43.82,0.6769,1.2529,0.54,15.1763,13.4525,2.7189,6.3239,6.0848,7.2736,4.0198,22783.8591,22783.8591,12310.0296,998388.7058,998388.7058
