ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
920237.BJ,20251231,23.35,1.1189,3.0887,0.64,27.5492,36.9857,3.9332,5.286,5.5412,0.7602,0.9883,8639.28,8472.815,3069.3598,201727.188,197840.2303
920237.BJ,20251230,23.54,1.2187,3.3641,0.59,27.7734,37.2867,3.9652,5.3291,5.5863,0.7541,0.9803,8639.28,8472.815,3069.3598,203368.6512,199450.0651
920237.BJ,20251229,23.36,1.7517,4.8356,0.89,27.561,37.0015,3.9349,5.2883,5.5436,0.7599,0.9879,8639.28,8472.815,3069.3598,201813.5808,197924.9584
920237.BJ,20251226,23.94,1.9721,5.4439,1.04,28.2453,37.9202,4.0326,5.4196,5.6812,0.7415,0.9639,8639.28,8472.815,3069.3598,206824.3632,202839.1911
920237.BJ,20251225,23.95,1.7271,4.7674,0.9,28.2571,37.9361,4.0343,5.4219,5.6836,0.7412,0.9635,8639.28,8472.815,3069.3598,206910.756,202923.9193
920237.BJ,20251224,24.19,2.1053,5.8117,1.09,28.5403,38.3162,4.0747,5.4762,5.7405,0.7338,0.954,8639.28,8472.815,3069.3598,208984.1832,204957.3949
920237.BJ,20251223,24.46,2.7798,7.6734,1.55,28.8588,38.7439,4.1202,5.5373,5.8046,0.7257,0.9435,8639.28,8472.815,3069.3598,211316.7888,207245.0549
920237.BJ,20251222,24.54,1.2786,3.5296,0.69,28.9532,38.8706,4.1336,5.5554,5.8236,0.7234,0.9404,8639.28,8472.815,3069.3598,212007.9312,207922.8801
920237.BJ,20251219,24.52,1.6224,4.4785,0.78,28.9296,38.8389,4.1303,5.5509,5.8188,0.724,0.9411,8639.28,8472.815,3069.3598,211835.1456,207753.4238
920237.BJ,20251218,24.05,1.8285,5.0473,0.77,28.3751,38.0945,4.0511,5.4445,5.7073,0.7381,0.9595,8639.28,8472.815,3069.3598,207774.684,203771.2008
920237.BJ,20251217,24.79,2.1255,5.8673,0.98,29.2482,39.2666,4.1758,5.612,5.8829,0.7161,0.9309,8639.28,8472.815,3069.3598,214167.7512,210041.0839
920237.BJ,20251216,24.38,2.1039,5.8078,1.02,28.7645,38.6172,4.1067,5.5192,5.7856,0.7281,0.9466,8639.28,8472.815,3069.3598,210625.6464,206567.2297
920237.BJ,20251215,23.85,1.5948,4.4024,0.78,28.1391,37.7777,4.0174,5.3992,5.6599,0.7443,0.9676,8639.28,8472.815,3069.3598,206046.828,202076.6378
920237.BJ,20251212,24.36,2.7345,7.5483,1.56,28.7409,38.5855,4.1033,5.5147,5.7809,0.7287,0.9473,8639.28,8472.815,3069.3598,210452.8608,206397.7734
920237.BJ,20251211,24.2,3.3242,9.1762,2.21,28.5521,38.3321,4.0764,5.4785,5.7429,0.7335,0.9536,8639.28,8472.815,3069.3598,209070.576,205042.123
920237.BJ,20251210,23.3,1.0993,3.0344,0.73,27.4902,36.9065,3.9248,5.2747,5.5293,0.7619,0.9904,8639.28,8472.815,3069.3598,201295.224,197416.5895
920237.BJ,20251209,23.21,1.5407,4.253,1.05,27.384,36.7639,3.9096,5.2544,5.508,0.7648,0.9943,8639.28,8472.815,3069.3598,200517.6888,196654.0362
920237.BJ,20251208,24.06,1.474,4.0689,0.94,28.3869,38.1103,4.0528,5.4468,5.7097,0.7378,0.9591,8639.28,8472.815,3069.3598,207861.0768,203855.9289
920237.BJ,20251205,23.53,1.3393,3.6971,0.8,27.7616,37.2708,3.9635,5.3268,5.5839,0.7544,0.9807,8639.28,8472.815,3069.3598,203282.2584,199365.337
920237.BJ,20251204,23.04,2.0693,5.7123,1.17,27.1835,36.4947,3.881,5.2159,5.4676,0.7705,1.0016,8639.28,8472.815,3069.3598,199049.0112,195213.6576
920237.BJ,20251203,23.89,1.0957,3.0247,0.59,28.1863,37.841,4.0242,5.4083,5.6693,0.7431,0.966,8639.28,8472.815,3069.3598,206392.3992,202415.5504
920237.BJ,20251202,24.22,1.3803,3.8101,0.72,28.5757,38.3638,4.0797,5.483,5.7477,0.7329,0.9528,8639.28,8472.815,3069.3598,209243.3616,205211.5793
920237.BJ,20251201,24.77,1.9363,5.345,1.05,29.2246,39.2349,4.1724,5.6075,5.8782,0.7167,0.9316,8639.28,8472.815,3069.3598,213994.9656,209871.6276
920237.BJ,20251128,24.05,1.8666,5.1526,0.91,28.3751,38.0945,4.0511,5.4445,5.7073,0.7381,0.9595,8639.28,8472.815,3069.3598,207774.684,203771.2008
920237.BJ,20251127,24.06,2.5417,7.0162,1.18,28.3869,38.1103,4.0528,5.4468,5.7097,0.7378,0.9591,8639.28,8472.815,3069.3598,207861.0768,203855.9289
920237.BJ,20251126,24.29,1.5745,4.3463,0.67,28.6583,38.4746,4.0915,5.4988,5.7643,0.7308,0.9501,8639.28,8472.815,3069.3598,209848.1112,205804.6764
920237.BJ,20251125,24.81,1.6528,4.5623,0.58,29.2718,39.2983,4.1791,5.6166,5.8877,0.7155,0.9301,8639.28,8472.815,3069.3598,214340.5368,210210.5402
920237.BJ,20251124,24.52,1.5802,4.3619,0.48,28.9296,38.8389,4.1303,5.5509,5.8188,0.724,0.9411,8639.28,8472.815,3069.3598,211835.1456,207753.4238
920237.BJ,20251121,24.25,2.8717,7.9272,0.78,28.6111,38.4113,4.0848,5.4898,5.7548,0.732,0.9516,8639.28,8472.815,3069.3598,209502.54,205465.7638
920237.BJ,20251120,25.49,3.0648,8.4603,0.64,30.0741,40.3754,4.2937,5.7705,6.049,0.6964,0.9053,8639.28,8472.815,3069.3598,220215.2472,215972.0544
920237.BJ,20251119,26.42,2.6686,7.3665,0.54,31.1713,41.8485,4.4503,5.981,6.2697,0.6719,0.8735,8639.28,8472.815,3069.3598,228249.7776,223851.7723
920237.BJ,20251118,27.0,3.9761,10.976,0.84,31.8556,42.7672,4.548,6.1123,6.4074,0.6575,0.8547,8639.28,8472.815,3069.3598,233260.56,228766.005
920237.BJ,20251117,28.61,3.8273,10.5651,0.81,33.7552,45.3174,4.8192,6.4768,6.7894,0.6205,0.8066,8639.28,8472.815,3069.3598,247169.8008,242407.2372
920237.BJ,20251114,29.19,4.8531,13.3966,1.06,34.4395,46.2361,4.9169,6.6081,6.9271,0.6081,0.7906,8639.28,8472.815,3069.3598,252180.5832,247321.4699
920237.BJ,20251113,29.48,8.7339,24.1094,2.27,34.7816,46.6954,4.9658,6.6738,6.9959,0.6022,0.7828,8639.28,8472.815,3069.3598,254685.9744,249778.5862
920237.BJ,20251112,27.25,3.3185,9.1605,0.74,32.1506,43.1632,4.5901,6.1689,6.4667,0.6514,0.8469,8639.28,8472.815,3069.3598,235420.38,230884.2088
920237.BJ,20251111,28.3,2.8417,7.8444,0.56,33.3894,44.8264,4.767,6.4066,6.7159,0.6273,0.8154,8639.28,8472.815,3069.3598,244491.624,239780.6645
920237.BJ,20251110,28.26,3.7506,10.3534,0.61,33.3422,44.763,4.7603,6.3976,6.7064,0.6281,0.8166,8639.28,8472.815,3069.3598,244146.0528,239441.7519
920237.BJ,20251107,28.25,4.3379,11.9746,0.53,33.3304,44.7472,4.7586,6.3953,6.704,0.6284,0.8169,8639.28,8472.815,3069.3598,244059.66,239357.0238
920237.BJ,20251106,28.28,4.9787,13.7434,0.61,33.3658,44.7947,4.7636,6.4021,6.7111,0.6277,0.816,8639.28,8472.815,3069.3598,244318.8384,239611.2082
