ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399006.SZ,20251231,3203.1717,3247.7367,3254.8897,3198.2482,3242.9046,-39.7329,-1.2252,206198167.0,543691721.8
399006.SZ,20251230,3242.9046,3208.3233,3251.1331,3207.7296,3222.6108,20.2938,0.6297,206953285.0,559494560.6
399006.SZ,20251229,3222.6108,3237.7735,3250.0881,3208.0763,3243.8757,-21.2649,-0.6555,196242767.0,537966376.2
399006.SZ,20251226,3243.8757,3232.4093,3268.6947,3219.1305,3239.343,4.5327,0.1399,210934629.0,571313750.4
399006.SZ,20251225,3239.343,3232.9712,3249.105,3200.4919,3229.5772,9.7658,0.3024,193569996.0,526293462.5
399006.SZ,20251224,3229.5772,3207.4095,3234.9985,3193.9671,3205.0108,24.5664,0.7665,182675049.0,502569104.7
399006.SZ,20251223,3205.0108,3196.3087,3227.0674,3184.5343,3191.9849,13.0259,0.4081,183880580.0,493682524.8
399006.SZ,20251222,3191.9849,3153.7493,3197.9406,3153.7493,3122.238,69.7469,2.2339,175227535.0,482641701.6
399006.SZ,20251219,3122.238,3134.8043,3157.2902,3112.0318,3107.0646,15.1734,0.4884,177361917.0,438271870.3
399006.SZ,20251218,3107.0646,3138.6571,3154.0656,3107.0646,3175.9081,-68.8435,-2.1677,169218740.0,444395999.1
399006.SZ,20251217,3175.9081,3072.6211,3181.689,3072.6211,3071.7619,104.1462,3.3904,186868324.0,488537918.7
399006.SZ,20251216,3071.7619,3130.4279,3141.5785,3058.7925,3137.8013,-66.0394,-2.1046,181550894.0,446175544.0
399006.SZ,20251215,3137.8013,3157.3198,3184.6248,3135.6628,3194.3586,-56.5573,-1.7705,180673479.0,466792575.1
399006.SZ,20251212,3194.3586,3172.7309,3203.2545,3137.6252,3163.6746,30.684,0.9699,202785453.0,560158751.4
399006.SZ,20251211,3163.6746,3210.5458,3246.3173,3163.6746,3209.0042,-45.3296,-1.4126,194039411.0,513225393.0
399006.SZ,20251210,3209.0042,3201.3784,3220.2353,3143.4146,3209.6031,-0.5989,-0.0187,185507666.0,489058569.2
399006.SZ,20251209,3209.6031,3183.6131,3235.5359,3175.5057,3190.2688,19.3343,0.606,194117870.0,528106023.6
