trade_date,yield
20230918,2.65
20230919,2.6625
20230920,2.665
20230921,2.6576
20230922,2.6776
20230925,2.6976
20230926,2.6951
20230927,2.6877
20230928,2.6751
20231009,2.6702
20231010,2.6811
20231011,2.6976
20231012,2.6911
20231013,2.6702
20231016,2.6777
20231017,2.6882
20231018,2.7052
20231019,2.7177
20231020,2.7052
20231023,2.7047
20231024,2.7177
20231025,2.7052
20231026,2.7152
20231027,2.7133
20231030,2.7141
20231031,2.6938
20231101,2.6853
20231102,2.6553
20231103,2.6613
20231106,2.6554
20231107,2.6632
20231108,2.6464
20231109,2.6494
20231110,2.6444
20231113,2.6454
20231114,2.6573
20231115,2.6633
20231116,2.6558
20231117,2.6524
20231120,2.6584
20231121,2.6684
20231122,2.6823
20231123,2.7023
20231124,2.7053
20231127,2.7108
20231128,2.6898
20231129,2.6826
20231130,2.668
20231201,2.6625
20231204,2.6725
20231205,2.665
20231206,2.6725
20231207,2.664
20231208,2.6636
20231211,2.644
20231212,2.6375
20231213,2.6226
20231214,2.6376
20231215,2.6227
20231218,2.6126
20231219,2.6191
20231220,2.6222
20231221,2.5901
20231222,2.5877
20231225,2.5678
20231226,2.5804
20231227,2.5577
20231228,2.5694
20231229,2.5553
20240102,2.5601
20240103,2.5531
20240104,2.5368
20240105,2.5175
20240108,2.5136
20240109,2.4862
20240110,2.4982
20240111,2.4992
20240112,2.5172
20240115,2.5212
20240116,2.5252
20240117,2.5077
20240118,2.5092
20240119,2.5027
20240122,2.4922
20240123,2.5042
20240124,2.5042
20240125,2.4984
20240126,2.4994
20240129,2.494
20240130,2.4557
20240131,2.433
20240201,2.4354
20240202,2.4244
20240205,2.4002
20240206,2.4525
20240207,2.4153
20240208,2.4379
20240219,2.4344
20240220,2.4134
20240221,2.4119
20240222,2.4033
20240223,2.4009
20240226,2.3789
20240227,2.3809
20240228,2.3376
20240229,2.3375
20240301,2.3675
20240304,2.3475
20240305,2.3169
20240306,2.265
20240307,2.2776
20240308,2.2825
20240311,2.305
20240312,2.3476
20240313,2.3326
20240314,2.3425
20240315,2.32
20240318,2.2926
20240319,2.2801
20240320,2.2951
20240321,2.2851
20240322,2.3051
20240325,2.3151
20240326,2.3175
20240327,2.2876
20240328,2.3026
20240329,2.2901
20240401,2.3082
