quarter,quarter_str,industry,cum_ret,ann_vol,sharpe,avg_daily_ret,med_pe,med_pb,total_mv,avg_turnover,avg_stock_count,mom_1q,mom_2q,mom_4q,cum_ret_z,ann_vol_z,med_pe_z,med_pb_z,total_mv_z,avg_turnover_z,mom_1q_z,mom_2q_z,mom_4q_z
2022-03-31 23:59:59.999999,2022Q1,交通运输,-0.038210779992302935,0.28177020799530295,-0.4607451036517183,-0.0005151755701935004,19.2334,1.3066,202537119.25959998,1.3563291295695017,80.63793103448276,,,,0.5632373850165788,-0.3015136817667229,-0.7539217362395404,-1.1063516385289403,0.013750211347375075,-1.2030641774362163,0.0,0.0,0.0
2022-06-30 23:59:59.999999,2022Q2,交通运输,-0.020189892160909606,0.2588083606654912,-0.20786944223845022,-0.00021348551419914013,17.53165,1.2888,213882237.43189996,2.219092796552894,79.88135593220339,-0.038210779992302935,,,0.23290713979853983,-1.2905534194298276,-0.9190982512538798,-1.0708733036132971,0.024040403412280146,-0.5534483743946732,0.5632373850165788,0.0,0.0
2022-09-30 23:59:59.999999,2022Q3,交通运输,-0.06817482986519408,0.20662502839826072,-1.221940315209782,-0.0010019184616317496,18.387700000000002,1.2225,208039990.39060003,1.6182214033727251,81.12307692307692,-0.020189892160909606,-0.057629200625783694,,1.514889294820218,-0.8285222996863351,-0.8675136636090461,-1.077259633228154,0.10128948510721482,-0.9040411024984738,0.23290713979853983,0.6612800695675006,0.0
2022-12-31 23:59:59.999999,2022Q4,交通运输,0.039621041909049914,0.19681908678137874,0.9264279934838804,0.0007235663160563589,18.5044,1.29,213000408.02959996,1.6335468827223225,81.91666666666667,-0.06817482986519408,-0.08698827956303701,,0.0632300816873016,-0.8128934552378344,-0.877918084973229,-0.9854381736370278,0.08545147410713201,-0.8058308401644707,1.514889294820218,1.0727855252797884,0.0
2023-03-31 23:59:59.999999,2023Q1,交通运输,0.022956323436367,0.12764034461278234,0.8224556081281233,0.0004165814176594807,18.6037,1.317,221013091.07709998,1.3129670402639297,82.91525423728814,0.039621041909049914,-0.03125494574737542,-0.08708294883413548,-0.4104939485404197,-1.1983852074117043,-0.9605563807630009,-1.057860518013093,0.04939935340541035,-0.9284575284547656,0.0632300816873016,1.177782225532074,1.1703427041677752
2023-06-30 23:59:59.999999,2023Q2,交通运输,-0.04905034275513831,0.15466578871351003,-1.312424663449867,-0.0008055047448394312,19.391,1.395,204858091.32830003,1.1202889524680675,83.45762711864407,0.022956323436367,0.06348691879836688,-0.029023978605698275,0.17977220344426895,-0.6905191058272966,-0.7944351607890505,-0.9503008231898994,-0.03345720122061762,-0.8476538630261201,-0.4104939485404197,-0.2701312174066302,0.7370335526275462
2023-09-30 23:59:59.999999,2023Q3,交通运输,-0.005694985386444307,0.13329445663904435,-0.10309366612310202,-5.4531008765102925e-05,19.09385,1.3703,205385191.6168,1.0283744762501905,83.671875,-0.04905034275513831,-0.027220034851722974,-0.057624219886566075,0.5924717467430108,-1.2040466367840081,-0.9727068635719992,-0.9579786580913445,0.0016205044545336057,-1.2913311944647177,0.17977220344426895,-0.24102017468136008,0.5729612889480693
2023-12-31 23:59:59.999999,2023Q4,交通运输,-0.03589729672534048,0.1260636646643853,-1.1555567813009922,-0.0005780703276927964,18.1434,1.2552,197085461.52010003,1.413312542569892,83.58333333333333,-0.005694985386444307,-0.05446598715639206,0.00556305393810419,0.005444319548784502,-1.3842857775334527,-0.9164322415413865,-1.029871708666944,0.0006575253460552897,-0.7114026467503464,0.5924717467430108,0.5925576214496134,0.26666585159527195
2024-03-31 23:59:59.999999,2024Q1,交通运输,-0.0037418743256799614,0.27015776090862387,0.07344364659723997,7.8735599673312e-05,15.8153,1.26965,210559142.511,1.6347323056866117,83.06896551724138,-0.03589729672534048,-0.04138784753152114,-0.06748130373099837,1.3305741779728875,-1.2074642803607014,-0.987806074797794,-0.9263772198338363,0.045792142074227805,-0.8384787476617667,0.005444319548784502,0.6241946331673414,0.174966492370607
2024-06-30 23:59:59.999999,2024Q2,交通运输,-0.05955975193233376,0.2077626533938769,-1.1595531768873175,-0.0009559993840532087,14.554400000000001,1.2312,222148608.17159998,1.428316991419496,83.40677966101696,-0.0037418743256799614,-0.03950484787804254,-0.09181916449729388,1.2883018350060107,-1.4015349528378638,-1.0134388397026133,-0.7954832360990703,0.11684867140485473,-0.946780732528532,1.3305741779728875,1.2849041279903046,1.0974831053145573
2024-09-30 23:59:59.999999,2024Q3,交通运输,0.11037220349316867,0.22048198344484637,1.9772596157521383,0.001729960801057247,16.71045,1.3439,242540294.17869994,1.459818874382064,83.15625,-0.05955975193233376,-0.06307876115141431,-0.1018559145339234,-0.35898226943787953,-2.2897352775012165,-0.8560226396092653,-0.810847733767844,0.2955423794017077,-0.4897559142656918,1.2883018350060107,1.378262379128861,1.2874314154400306
2024-12-31 23:59:59.999999,2024Q4,交通运输,-0.02287160315036252,0.2539236062397027,-0.24882793972014547,-0.0002507273324878361,17.6742,1.4095,238304876.20669997,2.373997479097462,83.09836065573771,0.11037220349316867,0.04423871050055683,0.0029862190938689803,-0.13862041187847413,-1.9092849381080534,-0.9919899719173835,-0.810695131590025,0.04267464389598364,-1.0430258019978267,-0.35898226943787953,0.8748519324498953,1.3101316733883372
2025-03-31 23:59:59.999999,2025Q1,交通运输,-0.024808908984356948,0.1385633146366791,-0.7332590685845435,-0.0004031857421844379,16.624299999999998,1.3131,232361143.95560002,1.4438327977467167,83.6842105263158,-0.02287160315036252,0.08497621110567932,0.016537255830377795,-0.3559255232595222,-1.53832409018233,-1.081321325253028,-0.9547942092865079,0.018448111967914054,-1.163955734200553,-0.13862041187847413,-0.38043041436343616,1.1842689470935546
2025-06-30 23:59:59.999999,2025Q2,交通运输,-0.011728852765442999,0.2276190806779084,-0.10334836542959402,-9.334944416130445e-05,16.5688,1.32735,234120765.76450002,2.70954389754152,82.26666666666667,-0.024808908984356948,-0.04711309261383578,-0.004958604578208292,-1.310906697025893,-0.995177811577009,-1.0636032343570792,-1.005883838194197,-0.014725895441138897,-0.3129042060348909,-0.3559255232595222,-0.40796707760308315,0.6133153680830965
2025-09-30 23:59:59.999999,2025Q3,交通运输,0.002959694763149834,0.11921930942331484,0.15363403323920766,7.268310851863864e-05,18.135550000000002,1.3101,227335015.8955,1.953144549136295,83.81818181818181,-0.011728852765442999,-0.03624678170905116,0.04564931522221838,-0.8016510532425221,-1.5479348690706023,-1.0743736942187534,-1.0978629329013598,-0.12939216560252156,-1.3005582008027372,-1.310906697025893,-1.1494404423557685,-1.2593837825303043
2025-12-31 23:59:59.999999,2025Q4,交通运输,0.00427600284127827,0.12248777970109317,0.20693195566754916,0.00010058188809096484,17.974,1.3153,226289346.70969996,1.9235550790605964,83.46666666666667,0.002959694763149834,-0.008803871826400855,-0.05550218681151897,0.32430025521324357,-1.483259313125267,-1.0736919359323247,-1.1325325095655614,-0.13832203925509534,-1.0993079129602115,-0.8016510532425221,-1.7576012123739975,-1.461293829476171
2022-03-31 23:59:59.999999,2022Q1,传媒,-0.1584791878505074,0.35502679895252814,-1.9320508312038607,-0.0027219437381582456,33.08605,2.0637,88937653.9413,3.446532408055145,84.75862068965517,,,,-0.6338281674676574,1.4589062383148355,0.05109545619067746,-0.169784494200366,-0.5534711294472052,1.1407170209595319,0.0,0.0,0.0
2022-06-30 23:59:59.999999,2022Q2,传媒,-0.08499523094198547,0.3550844476953352,-0.8911070569736136,-0.0012556280046146476,34.51975,2.0232,83984855.638,2.794410212974992,85.61016949152543,-0.1584791878505074,,,-0.9028949228129705,0.6137163388616513,-0.0487173781411923,-0.28963556121799344,-0.6059577210967808,0.11586115159099063,-0.6338281674676574,0.0,0.0
2022-09-30 23:59:59.999999,2022Q3,传媒,-0.15175954702014782,0.2443089165091042,-2.4879472902637185,-0.0024120147095876617,36.8035,1.738,73193175.0601,1.9664903244862908,86.6923076923077,-0.08499523094198547,-0.23000444362164074,,-0.6560229233589233,0.032116431786099034,0.22853067063700855,-0.37735161581079757,-0.6289802576173475,-0.4951862862886022,-0.9028949228129705,-1.0065449774193407,0.0
2022-12-31 23:59:59.999999,2022Q4,传媒,0.12282859376299271,0.23053638411293084,2.2259903998959643,0.002036395943897272,46.8456,2.07315,84813586.2155,2.554216255451063,87.81666666666666,-0.15175954702014782,-0.2238559402155047,,1.3288566291281538,0.14589665973127394,0.4715374273387286,-0.07143156136581513,-0.5826893979534825,0.305154093368665,-0.6560229233589233,-1.066224222123222,0.0
2023-03-31 23:59:59.999999,2023Q1,传媒,0.2003541737967287,0.24499395445142413,3.308584592539103,0.0032166000911238437,63.54585,2.5489,94948005.15010001,3.92871137715815,87.72881355932203,0.12282859376299271,-0.04757136500774861,-0.2666341832884602,1.9795033270206701,1.902448406715984,1.0938923734897235,0.320804194439542,-0.5819863367630927,1.7849180446892083,1.3288566291281538,0.8829963056600236,-0.5387643036395462
2023-06-30 23:59:59.999999,2023Q2,传媒,-0.03774213513059932,0.42751424871499233,-0.17396304445994326,-0.00029512571530343435,66.8378,3.1843,125101788.72990002,6.352774742351868,85.55932203389831,0.2003541737967287,0.3477919889817198,0.04608074607329171,0.43371437240951205,3.8419424945621428,0.8416777923313454,0.9722091665958364,-0.4275781129578989,3.181990119801616,1.9795033270206701,2.5740589194185914,1.7720401038790112
2023-09-30 23:59:59.999999,2023Q3,传媒,-0.144107076401632,0.28239818521459353,-2.0283889101429016,-0.0022730688378323916,62.6609,2.5915,108857743.74819998,3.3291429233009584,88.203125,-0.03774213513059932,0.1550502443647137,0.10010292758775052,-1.9802408200050015,2.0597182760568087,1.0697042562821315,0.5319759714204859,-0.48106465666294546,1.5923654487916035,0.43371437240951205,1.8802462971435028,2.5356007696784513
2023-12-31 23:59:59.999999,2023Q4,传媒,-0.02592976863941343,0.3263756576830184,-0.17680782598912462,-0.00022899115274089375,65.4625,2.59105,99191394.4544,4.5469635347647746,86.8,-0.144107076401632,-0.17641030278140535,0.11002759611910218,0.34675818442095246,3.3328370028300527,1.2029057511716665,0.5765155822246952,-0.5020577659734583,2.5074495602089075,-1.9802408200050015,-1.3014690352473601,1.6855140309264716
2024-03-31 23:59:59.999999,2024Q1,传媒,-0.07321643998926564,0.4662411515216829,-0.476906061162045,-0.0008823540917613571,67.1692,2.4928,106852425.23650001,4.635804977019479,85.79310344827586,-0.02592976863941343,-0.16630018189064888,-0.03703482136597658,0.16589628787606686,1.5153759012591757,1.6743288829241858,0.8948614027354954,-0.4577973933481919,2.4264265600555315,0.34675818442095246,-1.859316316647209,0.5870689645760813
2024-06-30 23:59:59.999999,2024Q2,传媒,-0.24209184000696216,0.35577100044543686,-3.1453273072480212,-0.00444054064614278,57.737049999999996,2.1645,86687538.1399,2.8542004509455015,87.7457627118644,-0.07321643998926564,-0.09724772327915587,-0.256502525752083,-1.710296396442058,1.3105248339721516,1.4387013792351213,0.6822393361277154,-0.5149786234512911,0.985400583410041,0.16589628787606686,0.3201631121131767,-0.6263747916866269
2024-09-30 23:59:59.999999,2024Q3,传媒,0.15521467855272886,0.3195882101865197,1.934622648555952,0.0024535023398345275,58.8902,2.1179,65076953.1857,2.634314221705998,87.359375,-0.24209184000696216,-0.29758317732046713,-0.4143952226951251,0.26324069025325114,0.5210518694987153,1.1144519655051426,0.4910926162869058,-0.5008629827654189,1.1444318585823847,-1.710296396442058,-0.8673729082208861,-1.2226815080994997
2024-12-31 23:59:59.999999,2024Q4,传媒,-0.021400387060546144,0.422937896252434,-0.00022349005471354618,-3.7508894275352615e-07,78.82294999999999,2.9724,107928075.7604,6.456327810720901,84.77049180327869,0.15521467855272886,-0.12445336858115263,-0.2095982851113698,-0.10332952527005296,1.6760752517142374,1.540587465459375,1.1902013448187596,-0.46746220476346034,1.8173577382817019,0.26324069025325114,-1.3536082533603653,-0.7171809239565593
2025-03-31 23:59:59.999999,2025Q1,传媒,-0.041841080341446846,0.3052317994316277,-0.4683420940188408,-0.0005672734131228069,85.79079999999999,2.8537,112862547.06899998,4.679002273035587,87.21052631578948,-0.021400387060546144,0.1304926372936761,-0.20592295364957047,-0.7432364165161859,1.2634179048277439,1.7148910125438845,0.9353225860955451,-0.44822841994228463,1.180273307026253,-0.10332952527005296,0.1647872567028171,-0.7849091316569763
2025-06-30 23:59:59.999999,2025Q2,传媒,0.09160437528966514,0.28149630940685294,1.450259150246238,0.0016200103114199789,94.4188,3.1344,118126787.11770001,3.117908171120076,87.5,-0.041841080341446846,-0.062346052087654646,-0.17904024446876254,1.1375256357889474,0.4102489197467509,1.6298311414622406,0.9562290482458362,-0.42320132205321837,0.050718583649580325,-0.7432364165161859,-0.7104575255365371,-1.7978195868879239
2025-09-30 23:59:59.999999,2025Q3,传媒,0.014089401906648202,0.166848795773451,0.40259304522295597,0.00026655620945324087,95.5289,3.54655,142436930.88199997,4.075299215208602,88.15151515151516,0.09160437528966514,0.0459304689220954,0.1824166942375509,-0.6139686959825914,-0.24917267039004576,1.2271136785078955,0.9957015622145019,-0.4145916109698886,0.56990919507828,1.1375256357889474,0.1952069353195613,0.3449748499898066
2025-12-31 23:59:59.999999,2025Q4,传媒,-0.061397694535006764,0.19984297097439585,-1.2328415778769144,-0.0009776774748558913,96.44489999999999,3.5633,130511194.34269997,3.5241900279722884,88.0,0.014089401906648202,0.10698442805617692,0.037968319244363835,-1.3334424645008176,0.21461261559918193,1.1006043955802218,0.9989824875812571,-0.44966478690388356,0.3887939928370739,-0.6139686959825914,0.1976111682135821,-0.3411203076014247
2022-03-31 23:59:59.999999,2022Q1,公用事业,-0.16814413332378553,0.27492634208803957,-2.7677080799798373,-0.0030195073745887613,26.40685,1.7986499999999999,203124915.41160002,1.9689434486700819,68.84482758620689,,,,-0.7300261092109299,-0.4659777622826784,-0.33705199802782315,-0.49766340267254755,0.016685176934732007,-0.5161291133900927,0.0,0.0,0.0
