month,large_cap_ret,small_cap_ret,size_premium,value_ret,growth_ret,value_growth_premium,style_quadrant,size_strength,value_strength,style_drift,style_angle,000016_SH_上证50,000300_SH_沪深300,000905_SH_中证500,399001_SZ_深证成指,399006_SZ_创业板指
2022-01-01,-0.0672813299253161,-0.10583399131562476,-0.03855266139030866,-0.0672813299253161,-0.12451536852323897,0.057234038597922865,大盘价值,-0.03855266139030866,0.057234038597922865,0.06900755664783619,2.1635813352025157,-0.0672813299253161,-0.07622851508936135,-0.10583399131562476,-0.10293099145457907,-0.12451536852323897
2022-02-01,0.008761499749356583,0.04145366390723271,0.032692164157876125,0.008761499749356583,-0.009502112457908996,0.018263612207265578,小盘价值,-0.002930248616216269,0.03774882540259422,0.037862384713966184,1.6482658704546482,0.008761499749356583,0.003917167341859651,0.04145366390723271,0.00958051114364511,-0.009502112457908996
2022-03-01,-0.05906059869327196,-0.07709302914891869,-0.01803243045564673,-0.05906059869327196,-0.0769850705906352,0.017924471897363237,大盘价值,-0.007964309229359756,0.031140707567517228,0.03214302240466023,1.8211815984918396,-0.05906059869327196,-0.07836471694497849,-0.07709302914891869,-0.09939773514205774,-0.0769850705906352
2022-04-01,-0.03224969827950619,-0.1102059761655978,-0.07795627788609161,-0.03224969827950619,-0.12797963441364035,0.09572993613413416,大盘价值,-0.021098848061287406,0.04397267341292099,0.04877250656458718,2.018167777756853,-0.03224969827950619,-0.04887050861256448,-0.1102059761655978,-0.09051160231810218,-0.12797963441364035
2022-05-01,0.002809081940678304,0.07077769300729675,0.06796861106661845,0.002809081940678304,0.03706022180829738,-0.034251139867619074,小盘成长,-0.009340032425039965,0.026467756054626108,0.028067388839505446,1.9100375864851977,0.002809081940678304,0.01874247062567691,0.07077769300729675,0.04592750268853929,0.03706022180829738
2022-06-01,0.08715239552959031,0.07099564557103344,-0.01615674995855687,0.08715239552959031,0.16860681227035368,-0.08145441674076337,大盘成长,-0.008714805592676678,-0.00665854015808276,0.010967405962895214,-2.489160529265675,0.08715239552959031,0.09617182760140275,0.07099564557103344,0.11872371717159735,0.16860681227035368
2022-07-01,-0.08699706264895601,-0.02478546227699896,0.062211600371957054,-0.08699706264895601,-0.049865092570650194,-0.03713197007830582,小盘成长,0.03800782049333954,-0.05094584222889609,0.06356157061515624,-0.9298321143379946,-0.08699706264895601,-0.07021476127258319,-0.02478546227699896,-0.04879429775304589,-0.049865092570650194
2022-08-01,-0.010941959310719951,-0.021983205425137986,-0.011041246114418035,-0.010941959310719951,-0.03746086481797284,0.026518905507252888,大盘价值,0.01167120143299405,-0.0306891604372721,0.032833542471596776,-1.2073839595706717,-0.010941959310719951,-0.021885302914197102,-0.021983205425137986,-0.03677439004301153,-0.03746086481797284
2022-09-01,-0.05491369261653456,-0.07175343768897746,-0.016839745072442902,-0.05491369261653456,-0.1094947919678716,0.05458109935133704,大盘价值,0.011443536395032039,0.014656011593428034,0.01859444005747739,0.907867642738592,-0.05491369261653456,-0.0671663602289505,-0.07175343768897746,-0.08777821313923573,-0.1094947919678716
2022-10-01,-0.1203746105513478,0.016282410825212423,0.13665702137656022,-0.1203746105513478,-0.010438300539368894,-0.1099363100119789,小盘成长,0.03625867672989976,-0.009612101717796325,0.03751112018637457,-0.259137272905537,-0.1203746105513478,-0.07784350342153079,0.016282410825212423,-0.03540002572212497,-0.010438300539368894
